snapshot-date	fnsku	sku	product-name	quantity	fulfillment-center-id	detailed-disposition	country
2020-08-25T00:00:00-07:00	X002M66UQT	LHA-VKS200-USBU0A-S2A1	SNUGMAX Vickers 200 Portable Power Station with 222Wh Backup Lithium Battery, Solar Generator with 110V/200W Pure Sine Wave AC Outlet & Type-C Port for Indoor CPAP Outdoors Camping Travel Emergency	6	PCA1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M66UQT	LHA-VKS200-USBU0A-S2A1	SNUGMAX Vickers 200 Portable Power Station with 222Wh Backup Lithium Battery, Solar Generator with 110V/200W Pure Sine Wave AC Outlet & Type-C Port for Indoor CPAP Outdoors Camping Travel Emergency	6	MKE1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M66UQT	LHA-VKS200-USBU0A-S2A1	SNUGMAX Vickers 200 Portable Power Station with 222Wh Backup Lithium Battery, Solar Generator with 110V/200W Pure Sine Wave AC Outlet & Type-C Port for Indoor CPAP Outdoors Camping Travel Emergency	6	MKC6	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M66UQT	LHA-VKS200-USBU0A-S2A1	SNUGMAX Vickers 200 Portable Power Station with 222Wh Backup Lithium Battery, Solar Generator with 110V/200W Pure Sine Wave AC Outlet & Type-C Port for Indoor CPAP Outdoors Camping Travel Emergency	6	EWR4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M66UQT	LHA-VKS200-USBU0A-S2A1	SNUGMAX Vickers 200 Portable Power Station with 222Wh Backup Lithium Battery, Solar Generator with 110V/200W Pure Sine Wave AC Outlet & Type-C Port for Indoor CPAP Outdoors Camping Travel Emergency	24	*XFR	SELLABLE	
2020-08-25T00:00:00-07:00	X002LN8N13	LH2-C100-CABU0A-1S8	VANKYO Cinemango 100 Mini Projector, 220" Display and 1080P Supported, 3800 LUX Projector with 50,000 Hrs Lamp Life, Suitable for Home Theater	52	YYZ4	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LN8N13	LH2-C100-CABU0A-1S8	VANKYO Cinemango 100 Mini Projector, 220" Display and 1080P Supported, 3800 LUX Projector with 50,000 Hrs Lamp Life, Suitable for Home Theater	1	YVR2	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LG0BJR	LHB-V630WX-CAWH3A-A1S4	VANKYO Performance V630W Native 1080P Wifi Projector, Upgraded 7000LUX Portable Projector with Zoom Function, Synchronized Smartphone Screen for iOS/Android Devices, Compatible with TV Stick, HDMI, TV Box and More	97	YYZ7	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LG0BJR	LHB-V630WX-CAWH3A-A1S4	VANKYO Performance V630W Native 1080P Wifi Projector, Upgraded 7000LUX Portable Projector with Zoom Function, Synchronized Smartphone Screen for iOS/Android Devices, Compatible with TV Stick, HDMI, TV Box and More	1	YYC1	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LG0BJR	LHB-V630WX-CAWH3A-A1S4	VANKYO Performance V630W Native 1080P Wifi Projector, Upgraded 7000LUX Portable Projector with Zoom Function, Synchronized Smartphone Screen for iOS/Android Devices, Compatible with TV Stick, HDMI, TV Box and More	2	YVR4	SELLABLE	CA
