snapshot-date	fnsku	sku	product-name	quantity	fulfillment-center-id	detailed-disposition	country
2020-08-25T00:00:00-07:00	X002M1UCEP	LFA-K300-USPK0A-S1A5	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	2	LGB3	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1UCEP	LFA-K300-USPK0A-S1A5	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	2	LAS7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1UCEP	LFA-K300-USPK0A-S1A5	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	103	LAS1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1UCEP	LFA-K300-USPK0A-S1A5	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	73	*XFR	SELLABLE	
2020-08-25T00:00:00-07:00	X002M1IR9R	LFA-HM132C-USWH0A-S3A3	HeimVision HM132C Security Camera for Video Baby Monitor, Only Compatible with HeimVision HM132 Baby Monitor, Surveillance Camera Indoor IP Camera with Night Vision	100	LAS1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LJ03ZB	LFA-H612TX-USBK0A-S1A1	VanTop H612T 12 4K Mirror Dash Cam for Cars, Voice Control Full Touch Screen Rear View Mirror Camera, GPS Tracking, Waterproof Backup Camera 2.5K Max, 8MP Sony Sensor for Super Night Vision	176	LAS1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	12	SMF1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	12	SAT2	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	12	LGB7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	4	LGB3	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	12	LAS7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	18	LAS1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	1	FAT1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	12	DFW7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LFYLY9	LFA-S8FKXX-USPK2A-S1A1	VANKYO MatrixPad S8 8 inch Kids Tablet, Android 9.0, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8 IPS HD Display, WiFi Tablet, Kid-Proof Case, Pink	300	*XFR	SELLABLE	
2020-08-25T00:00:00-07:00	X002LF05K3	LFA-4D0006-CACR3A-A1S2	(2 Pack) VANKYO Glass Screen Protector for VANKYO MatrixPad S21 Tablet 10.1 inch, Tempered Glass High Definition/Scratch Resistant	173	YYZ4	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LF05K3	LFA-4D0006-CACR3A-A1S2	(2 Pack) VANKYO Glass Screen Protector for VANKYO MatrixPad S21 Tablet 10.1 inch, Tempered Glass High Definition/Scratch Resistant	27	YYC1	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LEWH87	LFA-S21FAX-CABU3A-A1S2	VANKYO MatrixPad S21 10 inch Android Tablet, Octa-Core Processor, Android 9.0 Pie, 2GB RAM, 32GB Storage, 1280x800 IPS Display, Bluetooth 5.0, 5G Wi-Fi, GPS, Type C Port, Blue	113	YYZ4	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LEWH87	LFA-S21FAX-CABU3A-A1S2	VANKYO MatrixPad S21 10 inch Android Tablet, Octa-Core Processor, Android 9.0 Pie, 2GB RAM, 32GB Storage, 1280x800 IPS Display, Bluetooth 5.0, 5G Wi-Fi, GPS, Type C Port, Blue	45	YYC1	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LBCWPD	LFA-CE28-UNBK0A-A1S2	HeimVision 30ft/10m Power Extension Cable DC 12V Power Adapter Extension Cord for Security Camera, Router, Black	132	YYZ7	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LBCWPD	LFA-CE28-UNBK0A-A1S2	HeimVision 30ft/10m Power Extension Cable DC 12V Power Adapter Extension Cord for Security Camera, Router, Black	4	YYC1	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002LBCWPD	LFA-CE28-UNBK0A-A1S2	HeimVision 30ft/10m Power Extension Cable DC 12V Power Adapter Extension Cord for Security Camera, Router, Black	44	YVR4	SELLABLE	CA
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	19	TUS2	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	STL8	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	SMF1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	4	SLC1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	2	RDU1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	PHX6	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	PDX9	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	ONT6	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	OKC1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	OAK4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	7	MSP1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	2	MKE1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	MKC6	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	4	MDW7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	2	MCO1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	LGB3	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	21	LGA9	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	LEX1	CUSTOMER_DAMAGED	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	LAS7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	LAS2	DEFECTIVE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	3	LAS2	CUSTOMER_DAMAGED	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	JFK8	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	2	IND8	CUSTOMER_DAMAGED	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	IND1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	HOU2	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	GRR1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	6	GEG1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	18	EWR9	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	5	EWR4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KZYFJL	LFA-C751XX-USBK0A-S8A1	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	1	DTW1	SELLABLE	US
