snapshot-date	fnsku	sku	product-name	quantity	fulfillment-center-id	detailed-disposition	country
2020-08-25T00:00:00-07:00	X002M1KNJT	SSP1-K300-USPK0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	30	SDF1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1KNJT	SSP1-K300-USPK0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	15	EWR4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1KNJT	SSP1-K300-USPK0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	3	DCA1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1KNJT	SSP1-K300-USPK0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	1	CMH4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1KNJT	SSP1-K300-USPK0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	41	*XFR	SELLABLE	
2020-08-25T00:00:00-07:00	X002M1EINV	SSP1-K300-USBU0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	2	DCA1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1EINV	SSP1-K300-USBU0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	11	CMH4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1EINV	SSP1-K300-USBU0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	30	CMH1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1EINV	SSP1-K300-USBU0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	29	ABE8	SELLABLE	US
2020-08-25T00:00:00-07:00	X002M1EINV	SSP1-K300-USBU0A-AE5SE1	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	78	*XFR	SELLABLE	
2020-08-25T00:00:00-07:00	X002LTHW6J	SSP1-H612TX-USBK0A-AE1SE2	VanTop H612T 12 4K Mirror Dash Cam for Cars, Voice Control Full Touch Screen Rear View Mirror Camera, GPS Tracking, Waterproof Backup Camera 2.5K Max, 8MP Sony Sensor for Super Night Vision	14	JFK8	SELLABLE	US
2020-08-25T00:00:00-07:00	X002LTHW6J	SSP1-H612TX-USBK0A-AE1SE2	VanTop H612T 12 4K Mirror Dash Cam for Cars, Voice Control Full Touch Screen Rear View Mirror Camera, GPS Tracking, Waterproof Backup Camera 2.5K Max, 8MP Sony Sensor for Super Night Vision	1	EWR4	SELLABLE	US
