snapshot-date	fnsku	sku	product-name	quantity	fulfillment-center-id	detailed-disposition	country
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	1	SAT2	DISTRIBUTOR_DAMAGED	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	8	MSP1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	23	MIA1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	1	MDW7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	13	GRR1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	19	GEG1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	21	FAT1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	14	EWR9	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	26	DTW1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	35	DFW7	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	4	CLT4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	19	BHM1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	1	SAT2	DISTRIBUTOR_DAMAGED	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	8	MSP1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	23	MIA1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	1	MDW7	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	13	GRR1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	19	GEG1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	21	FAT1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	14	EWR9	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	26	DTW1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	35	DFW7	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	4	CLT4	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	20	BHM1	SELLABLE	US
2020-08-24T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	1	*XFR	DISTRIBUTOR_DAMAGED	
2020-08-23T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	8	MSP1	SELLABLE	US
2020-08-23T00:00:00-07:00	X002KVHMSB	TESTONG-TS001-US	XLJ Designed for Apple iPhone 11 Case (2019) - [Full Camera Len Protection] [Sound Conversion] [Air Cushion], Slim Fit Soft Transparent Anti-Yellowing TPU Case,Crystal Clear	23	MIA1	SELLABLE	US
