snapshot-date	fnsku	sku	product-name	quantity	fulfillment-center-id	detailed-disposition	country
2020-08-25T00:00:00-07:00	X002H5C4M9	VDUS-L510-USWH0A-RF1	VANKYO Leisure 510 HD Movie Projector, Video Projector with 230" Projection Size, Support 1080P HDMI VGA AV USB with HDMI Cable and Carrying Bag	5	CMH1	DEFECTIVE	US
2020-08-25T00:00:00-07:00	X002H5C4M9	VDUS-L510-USWH0A-RF1	VANKYO Leisure 510 HD Movie Projector, Video Projector with 230" Projection Size, Support 1080P HDMI VGA AV USB with HDMI Cable and Carrying Bag	1	BFI4	DEFECTIVE	US
2020-08-25T00:00:00-07:00	X002H5C4M9	VDUS-L510-USWH0A-RF1	VANKYO Leisure 510 HD Movie Projector, Video Projector with 230" Projection Size, Support 1080P HDMI VGA AV USB with HDMI Cable and Carrying Bag	1	ACY1	DEFECTIVE	US
2020-08-25T00:00:00-07:00	X002H5C4M9	VDUS-L510-USWH0A-RF1	VANKYO Leisure 510 HD Movie Projector, Video Projector with 230" Projection Size, Support 1080P HDMI VGA AV USB with HDMI Cable and Carrying Bag	1	ABE2	WAREHOUSE_DAMAGED	US
2020-08-25T00:00:00-07:00	X002H2LD1F	VDUS-L410-USBK0A-RF1	VANKYO Portable Projector with HD 1080P supported, Mini Projector with USB/SD/AV/HDMI/VGA Input	1	DAL3	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	1	PDX9	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	7	LGB3	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	7	JFK8	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	13	GEG1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	7	FTW6	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	6	FAT1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	5	EWR4	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	4	DTW1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	13	CMH1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	9	CLE2	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	16	BWI2	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	9	BHM1	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	13	BDL3	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	3	BDL2	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FQCYRZ	VDUS-3D0001-USGY1A-A1S2	Vankyo MatrixPad S7 7 inch Tablet Case, Stand Folio Cover MatrixPad S7, Premuim PU Leather Slim Fit with Multiple Viewing Angles	3	*XFR	SELLABLE	
2020-08-25T00:00:00-07:00	X002FOUZKZ	VDUS-3D0004-USGY3A-AC1SC1	VANKYO Tablet Case for MatrixPad S30 Tablet 10.1 inch, VANKYO MatrixPad S30 Tablet Slim Stand Folio Cover, Premium PU Leather Fit with Multiple Viewing Angles, Gray	1	TUL2	SELLABLE	US
2020-08-25T00:00:00-07:00	X002FOUZKZ	VDUS-3D0004-USGY3A-AC1SC1	VANKYO Tablet Case for MatrixPad S30 Tablet 10.1 inch, VANKYO MatrixPad S30 Tablet Slim Stand Folio Cover, Premium PU Leather Fit with Multiple Viewing Angles, Gray	6	EWR4	SELLABLE	US
