sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
1123214	B07GN7GDXB	B07GN7GDXB		Unknown					41	2	39	0	41		0	0	0
CGPT-MM3C-CABK0A-A1S3	B07HWL4KS6	B07HWL4KS6		Unknown					0	0	0	0	0		0	0	0
CHBK-HC80-FRGY0A	B07J43JZMB	B07J43JZMB		Unknown					5	0	5	0	5		0	0	0
CHBK-HC80-GBGY0A	B07J45WRVX	B07J45WRVX		Unknown					6	0	6	0	6		0	0	0
CPJK-L410-GBWH0A-A1S2	B07GXGT2K6	B07GXGT2K6		Unknown					6	0	6	0	6		0	0	0
CPJK-L410-GBWH0A-A1S3	B07GXGT2K6	B07GXGT2K6		Unknown					6	0	6	0	6		0	0	0
CPJK-L410-GBWH0A-A1S4	B07GXGT2K6	B07GXGT2K6		Unknown					6	0	6	0	6		0	0	0
CPJK-L410-GBWH0A-A1S5	B07GXGT2K6	B07GXGT2K6		Unknown					6	0	6	0	6		0	0	0
CPJK-L410-GBWH0A-A1S6	B07GXGT2K6	B07GXGT2K6		Unknown					6	0	6	0	6		0	0	0
CPJK-L510-FRBK0A-A1S2	B07GWN483G	B07GWN483G		Unknown					2	0	2	0	2		0	0	0
CPJK-L510-GBBK0A-A1S2	B07GVF938H	B07GVF938H		Unknown					35	0	35	0	35		0	0	0
CPJK-L510-GBWH0A-A1S2	B07GWSGW5H	B07GWSGW5H		Unknown					42	0	42	0	42		0	0	0
CSCH-H202-FRWH0A-A1S1	B07P2KFY56	B07P2KFY56		Unknown					20	0	20	0	20		0	0	0
CSCH-H202-FRWH0A-A1S2	B07P2KFY56	B07P2KFY56		Unknown					20	0	20	0	20		0	0	0
CSCH-H202-FRWH0A-A1S3	B07P2KFY56	B07P2KFY56		Unknown					20	0	20	0	20		0	0	0
CSCH-H202-FRWH0A-A1S4	X001044A95	B07P2KFY56		Unknown					25	0	25	0	25		0	0	0
CTAK-Z1AA-GBBK1A-AC2SC2	X0011BPPNH	B07Q2TQXCD		Unknown					44	0	44	0	44		0	0	0
CTAK-Z4AA-DEBK4A-VSA1	B07SNC8MQ2	B07SNC8MQ2		Unknown					48	0	48	0	48		0	0	0
CTBK-TB80-DEBK0A	B07JN8J5P4	B07JN8J5P4		Unknown					26	0	26	0	26		0	0	0
CTBK-TB80-FRBK0A	B07QS26MMV	B07QS26MMV		Unknown					2	0	2	0	2		0	0	0
CTBK-TB80-FRBK0A-A1S1	B07QS26MMV	B07QS26MMV		Unknown					2	0	2	0	2		0	0	0
CTBK-TB80-GBBK0A	B07QLXC13W	B07QLXC13W		Unknown					7	0	7	0	7		0	0	0
CTBK-TB80-GBBK0A-A1S2	B07QLXC13W	B07QLXC13W		Unknown					7	0	7	0	7		0	0	0
CTBK-TB80-ITBK0A	B07JN93QSN	B07JN93QSN		Unknown					19	0	19	0	19		0	0	0
CTBK-TB80-ITBK0A-A1S2	B07JN93QSN	B07JN93QSN	vankyo TB80 Mini TV Box Android 4K 7.1 Android Box con Telecomando, 2GB RAM 16GB Rom Amlogic S905W Quad Core 64 Bit H.265 HDMI Smart TV Box, Supporta WiFi	New	28.99	No		Yes	19	0	19	0	19	553.39	0	0	0
CUVP-H823-DEBU1A-A1S2	B07GWQ2CR8	B07GWQ2CR8		Unknown					22	22	0	0	22		0	0	0
CUVP-S5C0-DEBK6A-A1S3	B07H159T8V	B07H159T8V		Unknown					0	0	0	0	0		0	0	0
CUVP-S5C0-GBBK6A-A1S3	B07GN7GDXB	B07GN7GDXB		Unknown					41	2	39	0	41		0	0	0
VAN92-CSCH-H136-DEWH0A-N1S1	X0014MSLQ1	B07VHXWQ54		Unknown					10	0	10	0	10		0	0	0
VAN92-HMD2-GBWH0A-AC1SC1	X0017VFZNB	B07ZKHW1P1		Unknown					0	0	0	0	360		360	0	0
VAN92-S20H-ITGY4A-N1SI	X0016TF345	B083QWPT2W		Unknown					0	0	0	0	0		0	0	0
VAN92-S8FA-DEBK2A-N1S1	X0016AP67X	B0833Y1289		Unknown					0	0	0	0	360		360	0	0
