sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity
LFA-H82P-USBU1A-S1A1	X002ER0EZJ	B07H5J7YWH		Unknown					0	0	0	0	0		0	0	0	0
SSP1--MM3C-USBK0A-AE2SE4	X002F1JK8L	B082186KCS		Unknown					0	0	0	0	0		0	0	0	0
SSP1--MM40-USBK0A-AE2SE4	X002F1JFEZ	B0821FV3F6		Unknown					0	0	0	0	0		0	0	0	0
SSP1-1A0003-USBK0A-AE1SE1	X002IS7AFV	B082YYS6HZ		Unknown					0	0	0	0	0		0	0	0	0
SSP1-2A0002-USBK0A-AE1SE1	X002ISDJ6F	B083351Y1M		Unknown					0	0	0	0	0		0	0	0	0
SSP1-2A0010-USBK0A-AE1SE1	X002IC1LBB	B085ZM6RF5		Unknown					0	0	0	0	0		0	0	0	0
SSP1-2A0010-USBK0A-AE1SE2	X002KVHTJN	B085ZM6RF5		Unknown					0	0	0	0	0		0	0	0	0
SSP1-2A0017-USBK0A-AE1SE1	X002MGM1FD	B08GFZQ2CV		Unknown					0	0	0	0	0		0	0	0	0
SSP1-3A0006-UNBK0A-AE1SE1	X002KWRYW9	B08BF9D51Z		Unknown					0	0	0	0	0		0	0	0	0
SSP1-3A0006-UNBK0A-AE1SE2	X002MBPBA5	B08BF9D51Z		Unknown					0	0	0	0	0		0	0	0	0
SSP1-A10XXX-CAWH0A-AE1SE3	X002KVIHDZ	B085ZRY9FD	SNAPTAIN A10 Mini Drone With 720P HD Camera Foldable FPV WiFi RC Nano Quadcopter w/Voice Control Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	99.99	No		Yes	0	0	0	0	480	3307.56	480	0	0	0
SSP1-A10XXX-USWH0A-AC2SC3	X002I6FGKT	B086V8RPT6		Unknown					0	0	0	0	0		0	0	0	0
SSP1-A15H-CAGY0A-AE1SE3	X002JPC2RJ	B07ZJD3X2P	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120�Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	199.99	No		Yes	295	229	0	66	4140	4664.09	3840	0	5	0
SSP1-A15H-USGY0A-AE7SE3	X002HRKD61	B085GDH4FX		Unknown					0	0	0	0	0		0	0	0	0
SSP1-C02P-A15FXX-AE1SE2	X002LE2YW1	B08DFWGFYD	SNAPTAIN A15F Foldable Drone with 1080P HD Camera FPV WiFi RC Quadcopter for Beginners, Optical Flow Positioning, w/Voice Control, Gesture Control, Trajectory Flight, Circle Fly, 3D Flips, G-Sensor, Headless Mode	New	299.99	No		Yes	360	246	0	114	1320	4912.68	960	0	0	0
SSP1-C02P-S5CXXX-AE1SE2	X002LNIVCJ	B08DJ1B6V7	SNAPTAIN S5C WiFi FPV Drone with 1080P HD Camera, Voice Control Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function	New	299.99	No		Yes	0	0	0	0	192	7140.01	192	0	0	0
SSP1-CT25-UNBK0A-AE1SE3	X002JFV5IV	B087BVR1K3		Unknown					0	0	0	0	0		0	0	0	0
SSP1-H609XX-USBK0A-AE1SE1	X002HEFLAH	B084WWXPBS		Unknown					0	0	0	0	0		0	0	0	0
SSP1-H609XX-USBK0A-AE1SE2	X002K8GMVH	B084WWXPBS		Unknown					0	0	0	0	0		0	0	0	0
