sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity
1UVP-H823-CABU1A	X0020UG2ZV	B07MXT84YS	SNAPTAIN Spare Parts Kit for H823H Plus Mini Drone	New	99.99	No		Yes	34	34	0	0	34	160.1	0	0	0	0
48-3M2C-7VSS	X002KZXEST	B08CKW7H52	V630W Projector	New	408.99	No		Yes	0	0	0	0	0	21481.15	0	0	0	0
84-WN61-ZB8P	B07G7YY7NN	B07G7YY7NN		Unknown					4	0	4	0	4		0	0	0	0
C21H-9A0002-UNWH0A	X002FOC3O1	B083RRL8PK		Unknown					0	0	0	0	0		0	0	0	0
CACP-CT06-UNBK0A	B07MXT8QKP	B07MXT8QKP		Unknown					0	0	0	0	0		0	0	0	0
CACT-CT02-CABK0A-A1S3	B07MDF34S5	B07MDF34S5	SNAPTAIN S5C Drone Battery 3.7v 550mAh Lipo Battery for S5C Drone X708W Drone S5 Drone Syma X5SW Syma X5C-1 X5SC-1 JJRC H42 H23 Goolrc T32 UDI U45 RC Quadcopter (4Pack)	New	100.00	No		Yes	0	0	0	0	0	198.28	0	0	0	0
CGPT-K300-CABU0A-A1S1	X001WMRXVF	B07HT5HZD3	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	New	109.99	No		Yes	0	0	0	0	200	1768	200	0	0	0
CGPT-K300-USBU0A-A1S1	X001WQGWOZ	B07HSWT4SJ		Unknown					0	0	0	0	0		0	0	0	0
CGPT-K300-USPK0A-A2S2	X001WZYLLR	B07JV976NL		Unknown					0	0	0	0	0		0	0	0	0
CGPT-MM3C-CABK0A-A1S1	X001WKVTC1	B07HRB527V	VanTop Moment 3 4K Action Camera w/Gopro Compatible Carrying Case, Remote Control, 16MP Sony Sensor, 30M Waterproof Action Camera w/Gopro Compatible Accessories,2 Batteries, 170�Ultra Wide Angle	New	99.99	No		Yes	0	0	0	0	0	3413.26	0	0	0	0
CGPT-MM40-USBK0A-1	X001VKKPT5	B07GVGWV75		Unknown					0	0	0	0	0		0	0	0	0
CGPT-MM40-USBK0A-2	X001W307IF	B07GVGWV75		Unknown					0	0	0	0	0		0	0	0	0
CPJK-L510-USBK0A-1	B07G2Y5LX9	B07G2Y5LX9		Unknown					0	0	0	0	0		0	0	0	0
CPJK-LS30-USWH0A-1	B078KF8CSX	B078KF8CSX		Unknown					0	0	0	0	0		0	0	0	0
CPJK-LS30-USWH0A-RF	X002L2A583	B078KF8CSX		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C300-USWH0C	B07G2ZCRR5	B07G2ZCRR5		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C300-USWH0C-1	B07G2ZCRR5	B07G2ZCRR5		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C460-USWH0A-1	X001V36QOZ	B07GBNDJPR		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C480-USSV0A-A1S1	X0027DLRQF	B07SPCMZ3S		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C580-USWH0A	X001W2HTFP	B07H9SD1N2		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C580-USWH0A-1	X001W3O0DN	B07H9SD1N2		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C680-USSV0A-A1S1	X002B0RIZ3	B07XD25GCJ		Unknown					1	1	0	0	1		0	0	0	0
CPJV-EX20-USWH0A-A1S1	X002CFJKFX	B07Z52FDF4		Unknown					0	0	0	0	0		0	0	0	0
CPJV-EX30-USWH0A-A1S1	X002COC7SL	B07Z7NPXVG		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H201-USWH0A-A1S3-fan	X001WPOG6H	B07DNS5HNB		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H203-CAWH0A-A1S1	X0023LCA7L	B07PX1YXVM	HeimVision HM203 Security Camera, 1080P Surveillance WiFi Camera with Night Vision/PTZ/Two-Way Audio, 2.4Ghz Wireless Home IP Camera for Pet/ Baby/ Elder/ Dog Camera Monitor, Cloud Service/ MicroSD Support	New	49.99	No		Yes	610	480	50	80	2701	2279.93	0	2016	75	0
CSCH-H203-USWH0A-FBA	B07N819P4K	B07N819P4K		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H241-USWH0A-A1S1	X00257NTHN	B07RKJDK65		Unknown					0	0	0	0	0		0	0	0	0
CSSH-S620-CAWH0A	B07G7YY7NN	B07G7YY7NN	Mini Smart Plug, HeimVision 2 Pack Smart Wifi Outlets Works with Amazon Alexa Google Assistant IFTTT, Smart Outlet Voice APP Remote Control Socket from Anywhere with Timer Function	New	49.99	No		Yes	4	0	4	0	4	556.01	0	0	0	0
CTAK-PH01-CAGY0A-A3S1	X0024GYKZP	B07QSR8PRT	VANKYO MatrixPad Z1 7 inch Tablet Case, Stand Folio Cover for VANKYO MatrixPad Z1, Premuim PU Leather Slim Fit with Multiple Viewing Angles	New	23.99	No		Yes	9	0	9	0	9	329.22	0	0	0	0
CTAK-Z1AA-CABK1A-A3S3	X0023T1TNJ	B07QB5Q5LC	Vankyo MatrixPad Z1 7 inch Android Tablet, Android 8.1 Oreo Go Edition, 32GB Storage, Quad-Core Processor, IPS HD Display, Wi-Fi, Bluetooth, Black	New	89.99	No		Yes	1	0	1	0	1	425.08	0	0	0	0
CTAK-Z1AA-USBK1A-A1S3	B07PXB4F7N	B07PXB4F7N		Unknown					0	0	0	0	0		0	0	0	0
CTBK-X95A-USBK0A-A3S2	X00247TZJZ	B07Q869TKN		Unknown					0	0	0	0	0		0	0	0	0
CUVP-A15H-CAGY0A-A1S2	X001XMA6VD	B07JXY4QCH	SNAPTAIN A15 Foldable FPV WiFi Drone w/Voice Control/120�Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/APP Control	New	109.99	Yes	0	No	1	0	1	0	1	4190.17	0	0	0	0
CUVP-A15H-USGY0A-A2S1	B07LFGXGRB	B07LFGXGRB		Unknown					0	0	0	0	0		0	0	0	0
CUVP-A15H-USGY0A-A4S2	X00235K7KT	B07P6PRXLH		Unknown					0	0	0	0	0		0	0	0	0
CUVP-A15H-USGY0AA1S1	B07JNNP35P	B07JNNP35P		Unknown					0	0	0	0	0		0	0	0	0
CUVP-H823-CABU1A-A1S3	X001X4VQQ5	B07H5J53HN	SNAPTAIN H823H Mini Drone for Kids, RC Nano Quadcopter w/ Altitude Hold, Headless Mode, 3D Flips, One Key Return and Speed Adjustment	New	99.99	Yes	0	No	2	0	2	0	2	1782.91	0	0	0	0
CUVP-H823-USBU1A-2	X001W076C3	B07H5J7YWH		Unknown					0	0	0	0	0		0	0	0	0
CUVP-H823-USBU1A-A1S3	B07H5J7YWH	B07H5J7YWH		Unknown					0	0	0	0	0		0	0	0	0
CUVP-S5C0-USBK6A-1	X001VSS55X	B07GPNZSMY		Unknown					0	0	0	0	0		0	0	0	0
CUVP-S5C0-USBK6A-2	X001VI8T1N	B07GPNZSMY		Unknown					0	0	0	0	0		0	0	0	0
DPFK-XT4L-USGY4A	B07G5XYCBM	B07G5XYCBM		Unknown					0	0	0	0	0		0	0	0	0
DPFK-XT4L-USGY4A-1	B07GNZCLVT	B07GNZCLVT		Unknown					0	0	0	0	0		0	0	0	0
FBA15LS906FT.missing	B07RKJDK65	B07RKJDK65		Unknown					0	0	0	0	0		0	0	0	0
M8-7TI3-VUNR	X002LXWD5Z	B08FD4DFLC		Unknown					0	0	0	0	0		0	0	0	0
New_projectors005	B07GWB51YW	B07GWB51YW		Unknown					0	0	0	0	0		0	0	0	0
S5C ACCESSORIES-CA	X00207O61B	B07MPFSYVX	SNAPTAIN S5C Drone Accessories	New	99.99	No		Yes	66	66	0	0	66	323.97	0	0	0	0
S5C Battery*4PC	B07MDF34S5	B07MDF34S5		Unknown					0	0	0	0	0		0	0	0	0
VDUS-H13C-USWH0A-A1S1	X0029SPQMJ	B07W66WZ2G		Unknown					0	0	0	0	0		0	0	0	0
VDUS-H211-USWH0A-A2S1	X0029VJYBZ	B07W96YXQY		Unknown					0	0	0	0	0		0	0	0	0
VDUS-RR01-USWH0A-A1S1	X0029XDW07	B07WHQFY97		Unknown					0	0	0	0	0		0	0	0	0
VS-3D0004-USGY3A-V1S1	X002MGDNDR	B083S774XZ		Unknown					0	0	0	0	0		0	0	0	0
VS-X200-USBK0A-1S7	X002I1ALXL	B07ZQCST89		Unknown					0	0	0	0	0		0	0	0	0
VS-X200-USBU0A-S2A1	X002M5Q5AB	B08FSSGRB3		Unknown					0	0	0	0	0		0	0	0	0
