sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity
121N-7E0001-UNBK0A-S660-R	X002FJJKHJ	B083LT9BD3		Unknown					0	0	0	0	0		0	0	0	0
B07GPNZSMY.missing	B07GPNZSMY	B07GPNZSMY		Unknown					0	0	0	0	0		0	0	0	0
CACP-CT03-UNBK0A-US-A1S1	B07PH4QN3D	B07PH4QN3D		Unknown					0	0	0	0	0		0	0	0	0
CACP-CT07-UNBK0A-US-A1S1	B07PJ7WXG8	B07PJ7WXG8		Unknown					0	0	0	0	0		0	0	0	0
CACP-CT07-USBK0A-A1S1	B07PJ7WXG8	B07PJ7WXG8		Unknown					0	0	0	0	0		0	0	0	0
CACP-CT07-USBK0A-A1S2	X0024ADHPF	B07PJ7WXG8		Unknown					0	0	0	0	0		0	0	0	0
CACT-TS60-USBU4A-A1S2	B07DJ12L2D	B07DJ12L2D		Unknown					0	0	0	0	0		0	0	0	0
CGPT-K300-CAPK0A-A2S1	B07JNHV88J	B07JNHV88J	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	New	89.99	No		Yes	0	0	0	0	0	1561.69	0	0	0	0
CGPT-K300-USPK0A-A3S1	X0026M0AVP	B07S5JM3SK		Unknown					0	0	0	0	0		0	0	0	0
CGPT-MM3C-USBK0A-A1S4	B07HRCWWC8	B07HRCWWC8		Unknown					0	0	0	0	0		0	0	0	0
CGPT-MM40-USBK0A-A1S3	X0026CL6IV	B07GVGWV75		Unknown					0	0	0	0	0		0	0	0	0
CTGT-H610-CABK0A	X002MBPLQT	B08G4GYX1X	VanTop H610 10" 2.5K Mirror Dash Cam for Cars with Full Touch Screen, Waterproof Backup Camera Rear View Mirror Camera, Enhanced Night Vision with Sony Starvis Sensor, Parking Assistance	New	199.99	No		Yes	0	0	0	0	0	3080.28	0	0	0	0
CUVP-A15H-USGY0A-A5S1	X0024JVPLJ	B07P6PRXLH		Unknown					0	0	0	0	0		0	0	0	0
CUVP-H823-USBU1A-A1S4	X0023IX73Z	B07H5J7YWH		Unknown					0	0	0	0	0		0	0	0	0
CUVP-H823-USBU1A-A1S5	X002A9S2K5	B07H5J7YWH		Unknown					0	0	0	0	0		0	0	0	0
CUVP-H82P-USRD1A-A1S1	X0024PVH3J	B07R48VP3D		Unknown					0	0	0	0	0		0	0	0	0
CUVP-S5C0-CABK6B-A1S3	X00297RW7R	B07GVVDQ1B	SNAPTAIN WiFi FPV Drone with 720P HD Camera, Voice Control Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function	New	119.99	No		Yes	1257	1224	4	29	1713	7512.16	240	0	216	0
CUVP-S5C0-USBK6A-A1S5	X0023IVKDJ	B07GPNZSMY		Unknown					0	0	0	0	0		0	0	0	0
CUVP-S5C0-USBK6A-A1S6	X0026W01F5	B07GPNZSMY		Unknown					0	0	0	0	0		0	0	0	0
CUVP-S600-USBK6A-A1S1	X0026APYXB	B07RTWYRKT		Unknown					0	0	0	0	0		0	0	0	0
VNTP1- CT21-USBK0A- AC1SC1	X002DP0AQ5	B08161654D		Unknown					0	0	0	0	0		0	0	0	0
VNTP1- S350-USBU0A-AC1SC1	X002C7JZ47	B07YV417S1		Unknown					0	0	0	0	0		0	0	0	0
VNTP1- S700-USCA0A -AC1SC1	X002CWQ9EL	B07ZM8MVKX		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-1A0001-USBK0A-AC1SC1	X002FP4M4J	B083LTTLWG		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-1A0003-USBK0A-AC1SC1	X002F3UCYF	B082YYS6HZ		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-1A0006-CABK0A-AC1SC1	X002I9MA55	B0876NSF2W	SNAPTAIN A10 Mini Drone Battery 3.7V 380mAh Modular Rechargeable Li-po Battery (2 Piece) with 2 in 1 Charging Cables for SNAPTAIN A10 Foldable FPV WiFi Drone	New	39.99	No		Yes	0	0	0	0	100	59.98	100	0	0	0
VNTP1-1A0006-CAWH0A-AC1SC1	X002ID0AIP	B0876NSF2W	SNAPTAIN A10 Mini Drone Battery 3.7V 380mAh Modular Rechargeable Li-po Battery (2 Piece) with 2 in 1 Charging Cables for SNAPTAIN A10 Foldable FPV WiFi Drone	New	39.99	No		Yes	98	98	0	0	148	59.98	50	0	0	0
VNTP1-1A0006-USWH0A-AC1SC1	X002IVITZN	B088K9NMZQ		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-2A0001-USBK0A-AC1SC1	X002FM0MUZ	B083LXKFKF		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-2A0002-USBK0A-AC1SC1	X002F67E89	B083351Y1M		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-2A0010-USBK0A-AC1SC1	X002HRK46F	B085ZM6RF5		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-2A0011-CABK0A-AC1SC1	X002I9MCTJ	B0876NGJRC	SNAPTAIN Drone Spare Parts Accessories Kits for SNAPTAIN A10 Foldable Mini Drone	New	19.99	No		Yes	101	101	0	0	251	93.73	150	0	0	0
VNTP1-2A0011-USBK0A-AC1SC1	X002J3MORJ	B088DBSGJQ		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-2A0017-USBK0A-AC1SC1	X002MGCBE9	B08GFZQ2CV		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-3A0006-UNBK0A-AC1SC1	X002JZKA2N	B08BF9D51Z		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-A10XXX-CAWH0A-AC1SC1	X002HUT5RB	B085ZRY9FD	SNAPTAIN A10 Mini Drone With 720P HD Camera Foldable FPV WiFi RC Nano Quadcopter w/Voice Control Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	99.99	No		Yes	480	226	0	254	1008	3307.56	528	0	0	0
VNTP1-A10XXX-USWH0A-AC2SC1	X002I4HS9N	B086V8RPT6		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-A15H-CAGY0A-AC1SC1	X002CRV8FL	B07ZJD3X2P	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120�Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	199.99	No		Yes	701	692	2	5	1973	4664.09	1272	0	0	2
VNTP1-A15H-USGY0A-AC7SC1	X002HMHVQL	B085GDH4FX		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-A15H-USGY0A-AC7SC2	X002JA9QQJ	B085GDH4FX		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-A15H-USGY0A-AC7SC3	X002M7INN1	B085GDH4FX		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-A15HXX-USGY3A-AC7SC3	X002M7F6EZ	B085GDH4FX		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-AK02-CABK0A-AC1SC1	X002I9TU9J	B0876QVZF2	SNAPTAIN Spare Parts Kits for SP650 Drone, with Propellers, Landing Gears, Propeller Guards, Screwdriver, Screws	New	28.99	No		Yes	73	73	0	0	123	393.95	50	0	0	0
VNTP1-AK02-USBK0A-AC1SC1	X002AMZZRF	B07X3R2CP6		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-AK03-USBK0A-AC2SC1	X002B7TUKH	B07XRM1C85		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-AK04-USBK0A-AC2SC1	X002B7QRMV	B07XRW8K8D		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-AK05-USBK0A-AC1SC1	X002CC9BNR	B07YB9FM8S		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-AK06-USBK0A-AC1SC1	X002DP36YX	B08163RMH7		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-AK07-CABK0A-C1SC1	X002IE7AK5	B087CP1QLD	SNAPTAIN Drone Spare Parts Accessories Kits for SNAPTAIN SP500 GPS Foldable FPV Drone	New	25.99	No		Yes	60	60	0	0	110	917.68	50	0	0	0
VNTP1-AK07-USBK0A-AC1SC1	X002DRTF4B	B081B3TNCP		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-AK08-USBK0A-AC1SC1	X002DRR3RR	B0819X75BY		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-C02P-A15FXX-AC1SC1	X002LEJ8J3	B08DFWGFYD	SNAPTAIN A15F Foldable Drone with 1080P HD Camera FPV WiFi RC Quadcopter for Beginners, Optical Flow Positioning, w/Voice Control, Gesture Control, Trajectory Flight, Circle Fly, 3D Flips, G-Sensor, Headless Mode	New	299.99	No		Yes	0	0	0	0	3600	4912.68	3600	0	0	0
VNTP1-C02P-S5CXXX-AC1SC1	X002LEJJC9	B08DJ1B6V7	SNAPTAIN S5C WiFi FPV Drone with 1080P HD Camera, Voice Control Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function	New	299.99	No		Yes	0	0	0	0	1920	7140.01	1920	0	0	0
VNTP1-CT02-CABK0A-AC1SC1	X002FD2CZH	B083DNYS4P	SNAPTAIN S5C Drone Battery 3.7v 550mAh Lipo Battery for S5C Drone X708W Drone S5 Drone Syma X5SW Syma X5C-1 X5SC-1 JJRC H42 H23 Goolrc T32 UDI U45 RC Quadcopter (4Pack)	New	25.99	No		Yes	31	21	6	4	31	156.66	0	0	0	0
VNTP1-CT02-USBK0A-AC1SC1	X002A6YE7N	B07MDF34S5		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT03-CABK0A-AC1SC1	X002EKBIQZ	B08256W9ND	SNAPTAIN Drone Spare Parts Accessories Kits for SNAPTAIN A15H Foldable Drone	New	17.99	No		Yes	213	203	3	6	213	588.13	0	0	0	1
VNTP1-CT03-USBK0A-AC1SC2	X002ISTRRF	B07PH4QN3D		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT04-CABK0A-AC1SC1	X002EXRRGR	B07MPFSYVX	SNAPTAIN S5C Drone Accessories	New	15.99	No		Yes	63	62	0	0	63	323.97	0	0	0	1
VNTP1-CT05-UNBK0A-AC1SC5	X002ALCBS7	B07LB618TH		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT07-CABK0A-AC1SC1	X002EHO72F	B08255K2XT	SNAPTAIN A15H Drone Battery 3.7V 800mAh Modular Rechargeable Li-po Battery (2 Piece) with 2 in 1 Charging Cables for SNAPTAIN A15 Foldable FPV WiFi Drone	New	29.99	No		Yes	320	300	8	12	320	207.95	0	0	0	0
VNTP1-CT08-UNBK0A-AC2SC1	X002IAS265	B084GRHD1R		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT08-USBK0A-AC1SC1	X0028Y414D	B07V5SWVY7		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT09-CABK0A-AC1SC2	X002J9ZVIR	B07MXT84YS	SNAPTAIN Spare Parts Kit for H823H Plus Mini Drone	New	13.99	No		Yes	94	94	0	0	194	160.1	100	0	0	0
VNTP1-CT09-USBK0A-AC1SC1	X00286ZPEV	B07TJRD941		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT09-USBK0A-AC1SC3	X002LEXQCD	B07TJRD941		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT12-CABK0A-AC1SC1	X002I9WLD1	B0876QR4BM	Battery Kit for SNAPTAIN SP650 Drone, 2-Pack 3.7V 1000mAh Li-Po Battery + 1-Pack 2 in 1 USB Charging Cable	New	39.99	No		Yes	109	95	3	11	159	281.2	50	0	0	0
VNTP1-CT13-USBK0A-AC2SC1	X002ANN3UF	B07WYGX7FD		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT14-USBK0A-AC2SC1	X002AITFHP	B07WXQ1ZYF		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT16-USBK0A-AC1SC1	X002APFNDD	B07X4VX2JF		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT17-USBK0A-AC2SC1	X002B7STMH	B07XRCZD35		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT18-USBK0A-AC2SC2	X002ESKQND	B07XL9G853		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT19-USBK0A-AC1SC1	X002CC9HBX	B07YB71B69		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT23-CABK0A-AC1SC1	X002ICVNJ1	B087CNQDQ8	SNAPTAIN SP500 GPS Drone Battery 7.4V 1000mAh Modular Rechargeable Li-po Battery (2 Piece) with 2 Charging Cables for SNAPTAIN SP500 GPS Foldable FPV WiFi Drone	New	40.99	No		Yes	60	60	0	0	110	609.76	50	0	0	0
VNTP1-CT23-USBK0A-AC1SC1	X002DRTDBB	B081B3HCWQ		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT24-USBK0A-AC1SC1	X002DRR1RT	B0819ZBQT1		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-CT25-UNBK0A-AC1SC1	X002IS6W7N	B087BVR1K3		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-E20-USBK0A-AC1SC1	X002KZXTX9	B088WMZSP5		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-E30X-USBK0A-AC1SC1	X002KZYTOR	B089CV1N97		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-E31X-USBK0A-AC1SC1	X002KZF4RN	B089R3K2X6		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-H609XX-USBK0A-AC1SC1	X002GX6UUT	B084WWXPBS		Unknown					0	0	0	0	0		0	0	0	0
VNTP1-H610-CABK0A-AC1SC1	X002MBDSSR	B08G4GYX1X	VanTop H610 10" 2.5K Mirror Dash Cam for Cars with Full Touch Screen, Waterproof Backup Camera Rear View Mirror Camera, Enhanced Night Vision with Sony Starvis Sensor, Parking Assistance	New	199.99	No		Yes	0	0	0	0	192	3080.28	192	0	0	0
