sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity
1VK--CM70-USRD0B-S10A1	B07W22F9G3	B07W22F9G3		Unknown					0	0	0	0	0		0	0	0	0
1VK-A10CXX-USWH0A-A1S1	X002L99OPV	B07GV5FSC5		Unknown					0	0	0	0	0		0	0	0	0
1VK-A80S-USWH0A-A1S1	X002KNAQFP	B07MZ2WFLJ		Unknown					0	0	0	0	0		0	0	0	0
1VK-ASK26X-USWH0A-A1S2	X002LZMQTB	B08DKYC4D5		Unknown					0	0	0	0	0		0	0	0	0
1VK-B101-USWH0A-A1S1	X002IHWQY7	B07RGGCJB4		Unknown					0	0	0	0	0		0	0	0	0
1VK-C100XX-USWH2A-A1S1	X002IY6P8D	B088N6ZHF1		Unknown					0	0	0	0	0		0	0	0	0
1VK-C100XX-USWH2A-A1S2	X002L9M26J	B088N6ZHF1		Unknown					0	0	0	0	0		0	0	0	0
1VK-C480-USSV0A-A1S1	X002HE9DPB	B07SPCMZ3S		Unknown					0	0	0	0	0		0	0	0	0
1VK-C680-USSV0A-A1S1	X002HE9CYD	B07XD25GCJ		Unknown					0	0	0	0	0		0	0	0	0
1VK-CY75-USSV0A-A1S5	X002KMIVEJ	B087R2R8S6		Unknown					0	0	0	0	0		0	0	0	0
1VK-EX2PDX-USWH2A-A1S1	X002HE9UGN	B07Z52FDF4		Unknown					0	0	0	0	0		0	0	0	0
1VK-EX2PXX-USWH0A-A1S1	X002HFKKQB	B07Z52FDF4		Unknown					0	0	0	0	0		0	0	0	0
1VK-EX30-USWH0A-A1S1	X002HE9UZJ	B07Z7NPXVG		Unknown					0	0	0	0	0		0	0	0	0
1VK-GD100X-USWH0A-A1S1	X002KZYYN3	B08CDVM6HR		Unknown					0	0	0	0	0		0	0	0	0
1VK-H136-USWH0A-A1S1	X002M0OQA7	B07TY1C6KL		Unknown					0	0	0	0	0		0	0	0	0
1VK-H202A-USWH0A-A1S1	X002MDOMPN	B085ZMDF4B		Unknown					0	0	0	0	0		0	0	0	0
