sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity
CPJV-C680-USSV0A-A1S4	X002EB7K43	B07XD25GCJ		Unknown					0	0	0	0	0		0	0	0	0
CPJV-EX30-USWH0A-A1S2	X002CIMDBN	B07Z7NPXVG		Unknown					0	0	0	0	0		0	0	0	0
FHA-FL10-USBK0A-S1A1	B07Y6CGLGB	B07Y6CGLGB		Unknown					0	0	0	0	0		0	0	0	0
LH07-M110-USBU0A-A1S4	X002LAVXBD	B088BMS7HG		Unknown					0	0	0	0	0		0	0	0	0
LH07-V630WX-USWH3A-A1S2	X002KXBFKZ	B08CS82TJT		Unknown					0	0	0	0	0		0	0	0	0
LH07-V630WX-USWH3A-A2S2	X002L2SY6X	B08CZ7M2TY		Unknown					0	0	0	0	0		0	0	0	0
LH1-FL20-USBK0A-S2A1	B07XWXS6YX	B07XWXS6YX		Unknown					0	0	0	0	0		0	0	0	0
LH2-C100-CABU0A-1S8	X002LN8N13	B07X211MYR	VANKYO Cinemango 100 Mini Projector, 220" Display and 1080P Supported, 3800 LUX Projector with 50,000 Hrs Lamp Life, Suitable for Home Theater	New	170.99	No		Yes	49	44	0	5	49	8046.38	0	0	0	0
LH2-PT20-CABK0A-1S3	X002M150RT	B07D54QSJM	VANKYO Aluminum Tripod Projector Stand, Adjustable Laptop Stand, Multi-Function Stand, Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (2-Black)	New	84.99	No		Yes	0	0	0	0	270	20369.78	180	90	0	0
LH2-PT20-CAWH0A-1S3	X002M11L9Z	B079DNGNGQ	VANKYO Aluminum Tripod Projector Stand Adjustable Laptop Stand Multi-Function Stand Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (1-Silver)	New	84.99	No		Yes	0	0	0	0	270	20787.32	180	90	0	0
LHA-5A0005-USWH5A-S1A1	X002L2OE2B	B08BLNBVNL		Unknown					0	0	0	0	0		0	0	0	0
LHA-A10CXX-USWH0A-S1A1	X002L9C59N	B07GV5FSC5		Unknown					0	0	0	0	0		0	0	0	0
LHA-C100XX-USWH2A-A1S1	X002J33ZZJ	B088N6ZHF1		Unknown					0	0	0	0	0		0	0	0	0
LHA-EX2PDX-USWH2A-S2A1	X002J63U5L	B07Z52FDF4		Unknown					0	0	0	0	0		0	0	0	0
LHA-GD100X-USWH0A-S1A1	X002KQ13M7	B08CDVM6HR		Unknown					0	0	0	0	0		0	0	0	0
LHA-HM203-USWH0A-S1A1	X002KTQDL5	B07YXPW7JJ		Unknown					0	0	0	0	0		0	0	0	0
LHA-L410-USWH0A-S1A1	B07D467KPD	B07D467KPD		Unknown					0	0	0	0	0		0	0	0	0
LHA-L410XX-USWH2A-S1A1	B085HMVXNP	B085HMVXNP		Unknown					0	0	0	0	0		0	0	0	0
LHA-L430WX-USWH2A-S1A4	X002LBBHBD	B08CV7BXQM		Unknown					0	0	0	0	0		0	0	0	0
LHA-LS30-USWH0A-S1A1	X002LEJQLX	B078KF8CSX		Unknown					0	0	0	0	0		0	0	0	0
LHA-LS3PRO-USWH2A-S1A1	B08B63Z4T4	B08B63Z4T4		Unknown					0	0	0	0	0		0	0	0	0
