sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity
CPJK-V600-USSV0A-A1S1	B07NBNCNLM	B07NBNCNLM		Unknown					0	0	0	0	0		0	0	0	0
CPJK-V600-USSV0A-A4S3	B07NBNCNLM	B07NBNCNLM		Unknown					0	0	0	0	0		0	0	0	0
CPJK-V600-USSV0A-A4S7	B07NBNCNLM	B07NBNCNLM		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C580-USBK0A-A1S3	X0020SXPGH	B07NYS4VF2		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H202-USWH0A-FBA	B07KCS69H6	B07KCS69H6		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H202-USWH0A-UPC	B07KCS69H6	B07KCS69H6		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H203-CAWH0A-A1S2	B07PX1YXVM	B07PX1YXVM	HeimVision HM203 Security Camera, 1080P Surveillance WiFi Camera with Night Vision/PTZ/Two-Way Audio, 2.4Ghz Wireless Home IP Camera for Pet/ Baby/ Elder/ Dog Camera Monitor, Cloud Service/ MicroSD Support	New	39.99	No		Yes	2394	1913	89	390	6520	2279.93	1608	1398	1120	2
CSCH-H203-CAWH0A-A1S3	X002IYSVZ3	B07PX1YXVM	HeimVision HM203 Security Camera, 1080P Surveillance WiFi Camera with Night Vision/PTZ/Two-Way Audio, 2.4Ghz Wireless Home IP Camera for Pet/ Baby/ Elder/ Dog Camera Monitor, Cloud Service/ MicroSD Support	New	42.99	No		Yes	92	5	86	1	92	2279.93	0	0	0	0
CSCH-H203-USWH0A-FBA	B07N819P4K	B07N819P4K		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H205-CAWH0A-A1S2	X0026951O9	B07RWB4WJT	HeimVision HM205 Security Camera 1080P?Works with Alexa?WiFi Camera with Night Vision/PTZ/Two-Way Audio, Wireless Home Camera for Pet/Baby/Elder/Dog Camera Monitor, Cloud Service Support	New	43.99	No		Yes	36	0	36	0	36	2078.86	0	0	0	0
CSCH-H205-USWH0A-A1S2	B07P6QTBPZ	B07P6QTBPZ		Unknown					0	0	0	0	0		0	0	0	0
