sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity
123	X002K2BMHH	B01N1S7B60		Unknown					0	0	0	0	0		0	0	0	0
456	X002K2VR6X	B07SJR6HL3		Unknown					0	0	0	0	0		0	0	0	0
CACK-PS04-USWH3A-A2S3	B07M8L799V	B07M8L799V		Unknown					0	0	0	0	0		0	0	0	0
CACK-PS05-USWH4A-A2S2	B07LH34LW8	B07LH34LW8		Unknown					0	0	0	0	0		0	0	0	0
CACK-PT20-USBK1A-A1S3	B079DNGNGQ	B079DNGNGQ		Unknown					0	0	0	0	0		0	0	0	0
CACK-PT20-USWH1A-A1S3	B07D54QSJM	B07D54QSJM		Unknown					0	0	0	0	0		0	0	0	0
CPJK-C100-USBU0A-A1S3	B07X3TK1P1	B07X3TK1P1		Unknown					0	0	0	0	0		0	0	0	0
CPJK-L430-USWH0A-A2A4	X0029IKFV1	B07VKL7YPG		Unknown					0	0	0	0	0		0	0	0	0
CPJK-L510-USBK0A-A2S1	B07G2Y5LX9	B07G2Y5LX9		Unknown					0	0	0	0	0		0	0	0	0
CPJK-L510-USWH0A-A1S2	X0024HYZE5	B07GDNVND9		Unknown					0	0	0	0	0		0	0	0	0
CPJK-LS30-USWH0A-2	B078KF8CSX	B078KF8CSX		Unknown					0	0	0	0	0		0	0	0	0
CPJK-LS30-USWH0A-A2S1	B078KF8CSX	B078KF8CSX		Unknown					0	0	0	0	0		0	0	0	0
CPJK-V600-USSV0A-A4S12	X0024HPSFP	B07NBNCNLM		Unknown					0	0	0	0	0		0	0	0	0
CPJK-V600-USSV0A-A4S8	B07NBNCNLM	B07NBNCNLM		Unknown					0	0	0	0	0		0	0	0	0
CPJV-C580-USWH0A-A1S2	X0020VU99Z	B07H9SD1N2		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H203-USWH0A-A1S5	B07N819P4K	B07N819P4K		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H203-USWH0A-A1S6	X0026HV4QZ	B07N819P4K		Unknown					0	0	0	0	0		0	0	0	0
CSCH-H205-USWH0A-A2S5	B07R6HVN3K	B07R6HVN3K		Unknown					0	0	0	0	0		0	0	0	0
CSKH-A80S-USWH0A-A1S2	B07MZ2WFLJ	B07MZ2WFLJ		Unknown					0	0	0	0	0		0	0	0	0
CSKH-A80S-USWH0A-A1S4	X0023BDJB7	B07MZ2WFLJ		Unknown					0	0	0	0	0		0	0	0	0
CTAK-Z1AA-USBK1A-A1S3	B07PXB4F7N	B07PXB4F7N		Unknown					0	0	0	0	0		0	0	0	0
CTAK-Z1AA-USBK1A-A1S4	B07PXB4F7N	B07PXB4F7N		Unknown					0	0	0	0	0		0	0	0	0
CTAK-Z1AA-USBK1A-A1S5	X00275BB9L	B07PXB4F7N		Unknown					0	0	0	0	0		0	0	0	0
KCA-PH01-USGY0A-S1A1	X0027L3MLZ	B07QSR8PRT		Unknown					0	0	0	0	0		0	0	0	0
SM1-121K-4A0004-UNSV0A-A1S1	X002KJ79SL	B08C3272SY		Unknown					0	0	0	0	0		0	0	0	0
SM1-3D0001-USGY1A-3S1	X002FPEPCX	B083K64JR3		Unknown					0	0	0	0	0		0	0	0	0
SM1-3D0003-USGY3A-2S1	X002FP090F	B083K7JGJQ		Unknown					0	0	0	0	0		0	0	0	0
SM1-3D0004-USGY3A-V1S1	X002JXXRXJ	B083S774XZ		Unknown					0	0	0	0	0		0	0	0	0
SM1-3D0006-USGY3A -1S1	B088M7GTNY	B088M7GTNY		Unknown					0	0	0	0	0		0	0	0	0
SM1-4A0004-UNSV0A-A1S2	X002KJ9WSV	B08C3272SY		Unknown					0	0	0	0	0		0	0	0	0
SM1-4A0004-UNSV0A-A1S4	X002KKQID7	B08C3272SY		Unknown					0	0	0	0	0		0	0	0	0
SM1-4D0001-USCR1A-2S1	X002JBHPPH	B07VX5NTRZ		Unknown					0	0	0	0	0		0	0	0	0
SM1-4D0002-USCR2A-V1S1	X002KJ5XXJ	B083BMD4VJ		Unknown					0	0	0	0	0		0	0	0	0
SM1-4D0003-USCR3A-A1S3	X002FVDZTV	B083K7FZBB		Unknown					0	0	0	0	0		0	0	0	0
SM1-4D0004-USCR2A-V1S1	X002ICZQ4J	B0842FSTSQ		Unknown					0	0	0	0	0		0	0	0	0
SM1-4D0005-USCR3A-1S1	B088M92ZC3	B088M92ZC3		Unknown					0	0	0	0	0		0	0	0	0
SM1-5A0005-USWH5A-1S1	X002L5RJ6V	B08BLNBVNL		Unknown					0	0	0	0	0		0	0	0	0
