sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
ERS-2A08-CABK0A-3WBS1	B0894PK4XV	B0894PK4XV		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-2A08-USBK0A-3WBS1	X002J7SX07	B0894PTTGC	KYVOL 12-Pack HEPA Replacement Filter Kit for Cybovac E20/E30/E31 Robot Vacuum Cleaner, 12 HEPA Filters + 12 Sponges	New	15.99	No		Yes	72	64	0	6	72	0.05	0	0	0	2	0	0
ERS-2A09-CABK0A-3WBS1	B0894QSLLV	B0894QSLLV		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-2A09-USBK0A-3WBS1	X002JAH0ML	B0894SQRBV	Kyvol Robot Vacuum Replacement Parts-Full Set of Accessories, Main Brush Filters Accessories Kit Compatible with Kyvol Cybovac E20/E30/E31 Robotic Vacuum Cleaner	New	29.99	No		Yes	3	0	2	1	311	0.11	308	0	0	0	0	0
ERS-2A14-USBK0A-3WBS1	X002L7RRNJ	B08D9LD69K	Kyvol Replacement Robot Vacuum Dustbin Kit for E20/E30/E31 Robotic Vacuum Cleaner	New	30.00	No		Yes	0	0	0	0	192	0.12	192	0	0	0	0	0
ERS-2A15-USBK0A-3WBS1	X002L8DT67	B08D9L2R94	Kyvol Boundary Strips Magnetic Tape Markers Compatible for E20/E30/E31	New	20.00	No		Yes	0	0	0	0	304	0.01	304	0	0	0	0	0
ERS-6F01-USBU0A-3WBS1	X002MO2YKH	B08GRHZL7S	Kyvol Robot Vacuum Replacement Wet-Dry Vacuum Mop Cloths for Kyvol E31 Robot Vacuum Cleaner, Robotic Vacuum Accessories Mopping Cleaning Cloths, 3PCS	New	15.99	No		Yes	0	0	0	0	100		100	0	0	0	0	0
ERS-E20X-CABK0A-3WBS1	B088WVZR3Z	B088WVZR3Z		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-E20X-CABK0A-3WBS3	X002JKW3OB	B088WVZR3Z		Unknown					0	0	0	0	0		0	0	0	0	0	0
ERS-E20X-CAWH0A-3WBS1	X002L0LRPF	B08CXW2LTT		Unknown					0	0	0	0	0		0	0	0	0	0	0
