sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
3M-NHFI-B4D7	B07F7WNPHG	B07F7WNPHG		Unknown					27	1	1	25	27		0	0	0	0	0	0
70-F72H-BMDI	B07CSK2211	B07CSK2211		Unknown					0	0	0	0	0		0	0	0	0	0	0
8G-OJ0E-5IFK	B07G2Y5LX9	B07G2Y5LX9		Unknown					9	3	6	0	9		0	0	0	0	0	0
CACK-PM20-USBK0A	B07HRMZ6KF	B07HRMZ6KF	VANKYO Universal LED HD Projector Ceiling Mount Wall Bracket Holder for Different Size Projector	New	15.99	No		Yes	17	11	0	4	17	0.07	0	0	0	2	0	0
CACK-PM20-USBK0A-A1S1	B07M59Q249	B07M59Q249		Unknown					57	54	1	1	537		0	480	0	1	0	0
CACK-PM20-USBK0A-A3S1	B07M87MZPJ	B07M87MZPJ	VANKYO Universal LED HD Projector Ceiling Mount Wall Bracket Holder for Different Size Projector	New	18.99	No		Yes	15	0	2	13	495	0.08	0	480	0	0	0	0
CACK-PM20-USWH0A-A1S1	B07M59Q249	B07M59Q249	vankyo Universal LED HD Projector Ceiling Mount Wall Bracket Holder for Different Size Projector(White)	New	16.99	No		Yes	57	54	1	1	537	0.08	0	480	0	1	0	0
CACK-PM50-USSV0A-A2S1	X00268BFHR	B07RVBPWW4	VANKYO Universal Mini Ceiling Projector Mount, Angle Adjustable Wall Ceiling Projector Mount with 360 Degrees Rotatable Heads, Compatible with Leisure 3	New	11.99	No		Yes	26	11	0	15	26	0.03	0	0	0	0	0	0
CACK-PM60-CASV0A	X0028CZRBB	B07TXCWGGJ		Unknown					0	0	0	0	0		0	0	0	0	0	0
CACK-PM60-USSV0A	X0026954GT	B07RWLZ8JX	VANKYO Universal Extending Projector Ceiling Mount with Height Extendable Length 11.8" - 19.7" Adjustable 360°Angle Rotatable Drop Ceiling Projector Mount, Compatiable with VANKYO Leisure 3	New	24.99	No		Yes	60	57	0	3	60	0.08	0	0	0	0	0	0
CACK-PS04-CAWH3A	B07DF87B9L	B07DF87B9L		Unknown					0	0	0	0	0		0	0	0	0	0	0
CACK-PS04-USWH3A	B07DF87B9L	B07DF87B9L	VANKYO Projector Screen 100 Inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	27.99	No		Yes	0	0	0	0	0	0.22	0	0	0	0	0	0
CACK-PS04-USWH3A-A2S2	B07M8L799V	B07M8L799V	VANKYO Projector Screen 100 Inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	25.99	No		Yes	186	121	0	56	186	0.23	0	0	0	9	0	0
CACK-PS05-CAWH4A	B07DFCMHKL	B07DFCMHKL		Unknown					0	0	0	0	0		0	0	0	0	0	0
CACK-PS05-USWH4A	B07DFCMHKL	B07DFCMHKL	VANKYO Projector Screen 120 Inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	29.99	No		Yes	0	0	0	0	0	0.23	0	0	0	0	0	0
CACK-PS05-USWH4A-A2S1	B07LH34LW8	B07LH34LW8	VANKYO Projector Screen 120 Inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	27.99	No		Yes	13	11	2	0	13	0.23	0	0	0	0	0	0
CACK-PS05-USWH4A-A2S2	X002F81YD3	B07LH34LW8	VANKYO Projector Screen 120 Inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	69.99	No		Yes	249	155	0	94	249	0.23	0	0	0	0	0	0
CACK-PT20-CABK1B	B07D54QSJM	B07D54QSJM		Unknown					157	46	1	109	157		0	0	0	1	0	0
CACK-PT20-CAWH1A	B079DNGNGQ	B079DNGNGQ		Unknown					0	0	0	0	0		0	0	0	0	0	0
CACK-PT20-USBK1A	X001OR77JV	B079DNGNGQ	VANKYO Aluminum Tripod Projector Stand, Adjustable Laptop Stand, Multi-Function Stand, Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (1-Silver)	New	39.99	No		Yes	2	0	2	0	2	0.73	0	0	0	0	0	0
CACK-PT20-USBK1A-A1S2	B07D54QSJM	B07D54QSJM	VANKYO Aluminum Tripod Projector Stand, Adjustable Laptop Stand, Multi-Function Stand, Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (2-Black)	New	39.99	No		Yes	157	46	1	109	157	0.72	0	0	0	1	0	0
CACK-PT20-USWH1A	B07D54QSJM	B07D54QSJM	VANKYO Aluminum Tripod Projector Stand, Adjustable Laptop Stand, Multi-Function Stand, Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (2-Black)	New	39.99	No		Yes	157	46	1	109	157	0.72	0	0	0	1	0	0
CACT-TS60-USBU4A	B07DJ12L2D	B07DJ12L2D	VanTop 59 in 1 Accessories Kit for GoPro Hero7 6 5 4 3+ 3 2 1, Hero Session, GoPro Fusion, AKASO, APEMAN, Lightdow, Xiaomi Yi and More, Outdoor Sports Action Camera Accessory Kit with Carrying Case	New	29.99	No		Yes	0	0	0	0	0	0.3	0	0	0	0	0	0
CHBK-HC80-USGY0A	B07K196FQG	B07K196FQG	VANKYO USB C Hub, 8-in-1 USB C Adapter with 1Gbps Ethernet Port, 4K USB C to HDMI, 3 USB 3.0 Ports, SD/TF Card Reader and PD 2.0 Charging Port for MacBook Pro, ChromeBook, Samsung S9 with Mini Type C	New	69.99	No		Yes	1	0	1	0	1	0.02	0	0	0	0	0	0
CHBK-HC80-USGY0A-A2S1	B07K196FQG	B07K196FQG	VANKYO USB C Hub, 8-in-1 USB C Adapter with 1Gbps Ethernet Port, 4K USB C to HDMI, 3 USB 3.0 Ports, SD/TF Card Reader and PD 2.0 Charging Port for MacBook Pro, ChromeBook, Samsung S9 with Mini Type C	New	69.99	No		Yes	1	0	1	0	1	0.02	0	0	0	0	0	0
CHBK-HC80-USGY0A-A2S3	X0026GPOTJ	B07K196FQG	VANKYO USB C Hub, 8-in-1 USB C Adapter with 1Gbps Ethernet Port, 4K USB C to HDMI, 3 USB 3.0 Ports, SD/TF Card Reader and PD 2.0 Charging Port for MacBook Pro, ChromeBook, Samsung S9 with Mini Type C	New	49.99	No		Yes	51	50	1	0	51	0.02	0	0	0	0	0	0
CPJK-B101-CAWH0A-A1S1	X00295FYS3	B07VQQ1HM2		Unknown					0	0	0	0	0		0	0	0	0	0	0
CPJK-B101-USWH0A	X0025CEVD9	B07RGGCJB4	VANKYO Burger 101 Pico Projector, Rechargeable DLP Wireless Mini Projector Supports 1080P and 3D with HDMI, USB, Compatible with iPhone, Android, Laptop for Home Entertainment, Outdoor Movies	New	299.99	No		Yes	4	0	1	3	4	0.14	0	0	0	0	0	0
CPJK-C100-USBU0A-A1S1	X002AN1AL9	B07X3TK1P1	VANKYO Cinemango 100 Mini Video Projector, HD Movie Projector Support 1080P, 220 Display, 50,000 Hrs Lamp Life, Compatible with TV Stick, HDMIx2, USBx2, VGA, TF, AV for Home Entertainment	New	109.99	No		Yes	221	73	2	137	221	0.3	0	0	0	9	0	0
CPJK-L410-CABK0A	B07FFMCKKX	B07FFMCKKX		Unknown					0	0	0	0	0		0	0	0	0	0	0
CPJK-L410-CAWH0A	B07DXQ9NNY	B07DXQ9NNY		Unknown					0	0	0	0	0		0	0	0	0	0	0
CPJK-L410-CAWH0A-Remote	X001WLDFQ3	B07HNYK9T4		Unknown					0	0	0	0	0		0	0	0	0	0	0
CPJK-L410-CAWH0B	B07DXQ9NNY	B07DXQ9NNY		Unknown					0	0	0	0	0		0	0	0	0	0	0
CPJK-L410-USBK0A	B07FFMCKKX	B07FFMCKKX	VANKYO Portable Projector with HD 1080P supported, Mini Projector with USB/SD/AV/HDMI/VGA Input	New	79.99	No		Yes	0	0	0	0	0	0.27	0	0	0	0	0	0
CPJK-L410-USRD0A	B07F7WNPHG	B07F7WNPHG	VANKYO Portable Projector, Support HD 1080P, Mini Projector with USB/SD/AV/HDMI/VGA Input. Come with Free Carrying Bag and HDMI Cable (3-Red)	New	89.99	No		Yes	27	1	1	25	27	0.26	0	0	0	0	0	0
CPJK-L410-USWH0A	B07D467KPD	B07D467KPD	VANKYO Leisure 410 Mini Projector with Carrying Bag and HDMI Cable, Portable Projector Supports 1080P, Compatible with PS3/PS4 TV Stick, PS4, HDMI, VGA, TF, AV and USB	New	99.99	No		Yes	2	0	1	1	2	0.26	0	0	0	0	0	0
CPJK-L410-USWH0A-A3S1	X001W25GJL	B07D467KPD	VANKYO Leisure 410 Mini Projector with Carrying Bag and HDMI Cable, Portable Projector Supports 1080P, Compatible with PS3/PS4 TV Stick, PS4, HDMI, VGA, TF, AV and USB	New	99.99	No		Yes	2	0	2	0	2	0.26	0	0	0	0	0	0
CPJK-L410-USWH0A-A3S2	X001YOZQUV	B07D467KPD	VANKYO Leisure 410 Mini Projector with Carrying Bag and HDMI Cable, Portable Projector Supports 1080P, Compatible with PS3/PS4 TV Stick, PS4, HDMI, VGA, TF, AV and USB	New	99.99	No		Yes	149	68	1	76	149	0.26	0	0	0	4	0	0
CPJK-L410-USWH0A-LXM0624	B07D467KPD	B07D467KPD		Unknown					2	0	1	1	2		0	0	0	0	0	0
CPJK-L410-USWH0B-TEST	B07DXQ9NNY	B07DXQ9NNY		Unknown					0	0	0	0	0		0	0	0	0	0	0
CPJK-L430-USWH0A-A2S2	X0029624KN	B07VKL7YPG	VANKYO Leisure 430 (2020 Upgraded ) Projector, Mini Video Projector with 50,000 Hours LED Lamp Life, 236" Display, Support 1080P, HiFi Built-in Speaker, Compatible with HDMI, SD, AV, VGA, USB	New	99.99	No		Yes	113	58	6	44	113	0.28	0	0	0	5	0	0
