sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
HDAR-3D0005-UNBK0A-H1V1	X002LM853P	B083J9YXQ1	HeimVision HMD2 Silicone Cover, Waterproof Protective Cover Case for HMD2 Outdoor Wireless Security Camera (Black)	New	7.99	No		Yes	0	0	0	0	200	0.01	0	200	0	0	0	0
HDAR-H202A-USWH0A-H1V1	X002M7936R	B085ZMDF4B	HeimVision 2K 3MP Security Camera, Pan/Tilt/Zoom WiFi Home Indoor IP Camera for Baby/Pet/Nanny Monitor, Night Vision, 2-Way Audio, Motion Detection, Cloud/MicroSD Storage, HM202A	New	37.99	No		Yes	0	0	0	0	192	0.08	192	0	0	0	0	0
HDAR-H203-USWH0A-H1V1	X002M792UT	B07YXPW7JJ	HeimVision 1080P Security Camera, HM203 UG WiFi Home Indoor Camera with Smart Night Vision/2 Way Audio/Motion Detection, Wireless IP Dog Camera for Baby/Pet/Nanny Monitor, Cloud/MicroSD Support	New	30.99	No		Yes	0	0	0	0	192	0.08	192	0	0	0	0	0
HDAR-H206X-USBK0A-H1V1	X002MDOPL9	B0885WVDXJ	TeamMe Mini Spy Camera, WiFi Wireless Hidden Camera, HM206 1080P HD Small Home Security Camera with 32G SD Card, Night Vision, Motion Detection, Rechargeable Tiny Nanny Cam for Car Indoor Outdoor	New	49.99	No		Yes	0	0	0	0	200	0.02	200	0	0	0	0	0
HDAR-H245-USBK0A-H1V1	X002M0BXOT	B07ZGBMVJ9	HeimVision HM245 1080P Security Camera System, 8CH 5MP-Lite DVR 4Pcs 1920TVL Outdoor Wired CCTV Camera with Night Vision, Motion Alert, No Hard Drive	New	140.99	No		Yes	0	0	0	0	0	0.68	0	0	0	0	0	0
HDAR-HM132X-USWH0A-H3V3	X002M78MUP	B0894FBZ68	HeimVision Baby Monitor, HM132 Video Baby Monitor with Camera and Audio, 4.3" Split Screen Baby Camera with Night Vision, 2 Way Talk, VOX Mode, 8 Lullabies, Extra Lens and Holder Included	New	99.99	No		Yes	0	0	0	0	200	0.14	0	200	0	0	0	0
HDAR-HM311X-USWH0A-H2V4	X002MGLUYV	B088LLVHL8	HeimVision 2K outdoor Security Camera, Wi-Fi Wireless Bullet Camera with Floodlight, Night Vision, 2-Way Audio, Motion Detection, Siren Alarm, Message Alert, MicroSD/Cloud Storage, Weatherproof, HM311	New	54.99	No		Yes	0	0	0	0	192	0.11	0	192	0	0	0	0
HDAR-HMA2-USWH0A-H1V1	X002M7OHBX	B0893191H3	HeimVision 1080P Security Camera, HMA2 WiFi Home Indoor Camera for Pet/Nanny/Baby Monitor, Wireless Surveillance IP Camera with Smart Night Vision, 2 Way Audio, Motion Detection, Flexible & Compact	New	26.99	No		Yes	0	0	0	0	200	0.05	200	0	0	0	0	0
HDAR-HMD2-USWH0A-H1V1	X002LY95W3	B07T2Q7WJ5	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi Cameras with Cloud Service	New	79.99	No		Yes	0	0	0	0	600	0.04	0	600	0	0	0	0
HDAR-S7FK-USPK1A-H1V1	X002MO3843	B089DH5B6C	VANKYO MatrixPad S7 Kids Tablet 7 inch, 32GB ROM, Kidoz Pre Installed, IPS HD Display, WiFi Android Tablet, Kid-Proof, Pink	New	99.99	No		Yes	0	0	0	0	196	0.1	196	0	0	0	0	0
HDAR-SE01-USBK0A-H1V1	X002L81AI1	B07TMXZF5Q	Solar Panel Compatible with HeimVision HMD2 Rechargeable Battery Security Camera, Waterproof 3.2W/ 5.5V Solar Panel with 13ft/ 4m USB Cable, Support Continuously Supply Power for Security Camera	New	30.99	No		Yes	158	152	1	4	158	0.1	0	0	0	1	0	0
