sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
B07Z52FDF4	B07Z52FDF4	B07Z52FDF4		Unknown					2	2	0	0	2		0	0	0	0	0	0
CACK-PS04-USWH3A-A2S4	B07M8L799V	B07M8L799V	VANKYO Projector Screen 100 Inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	29.99	No		Yes	0	0	0	0	0	0.23	0	0	0	0	0	0
CACK-PS05-USWH4A-A2S3	B07LH34LW8	B07LH34LW8	VANKYO Projector Screen 120 Inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	27.99	No		Yes	0	0	0	0	0	0.23	0	0	0	0	0	0
CPJK-B101-USWH0A-A1S2	X0027FBSHL	B07RGGCJB4	VANKYO Burger 101 Pico Projector, Rechargeable DLP Wireless Mini Projector Supports 1080P and 3D with HDMI, USB, Compatible with iPhone, Android, Laptop for Home Entertainment, Outdoor Movies	New	179.99	No		Yes	2	2	0	0	2	0.14	0	0	0	0	0	0
CPJK-C10-USBU0A-A1S2	B07X3TK1P1	B07X3TK1P1		Unknown					8	0	6	1	8		0	0	0	1	0	0
CPJK-C100-USBU0A-A1S2	B07X3TK1P1	B07X3TK1P1	VANKYO Cinemango 100 Mini Video Projector, HD Movie Projector Support 1080P, 220 Display, 50,000 Hrs Lamp Life, Compatible with TV Stick, HDMIx2, USBx2, VGA, TF, AV for Home Entertainment	New	109.99	No		Yes	8	0	6	1	8	0.3	0	0	0	1	0	0
CPJK-L430-USWH0A-A2S3	X00294AIP3	B07VKL7YPG	VANKYO Leisure 430 (2020 Upgraded ) Projector, Mini Video Projector with 50,000 Hours LED Lamp Life, 236" Display, Support 1080P, HiFi Built-in Speaker, Compatible with HDMI, SD, AV, VGA, USB	New	119.99	No		Yes	5	0	5	0	5	0.28	0	0	0	0	0	0
CPJK-LS30-USWH0A-A1S4	B078KF8CSX	B078KF8CSX	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	New	119.99	Yes	329	No	1065	74	53	932	4413	0.25	3300	0	48	6	0	0
CPJK-LS30-USWH0A-A2S2	B078KF8CSX	B078KF8CSX	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	New	119.99	No		Yes	1065	74	53	932	4413	0.25	3300	0	48	6	0	0
CPJV-C480-USSV0A-A1S2	X0027BRXSN	B07SPCMZ3S	VIVIMAGE C480 Mini Projector, 3800 Lux 1080P Supported and 170'' Display Portable Video Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	New	109.90	No		Yes	11	3	7	0	11	0.22	0	0	0	1	0	0
CPJV-C680-USSV0A-A1S2	B07XD25GCJ	B07XD25GCJ	VIVIMAGE C680 Native 1080p Projector, 6500 Lux Full HD LED Home Theater Movie Projector 60Hz Compatible TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	New	399.99	No		Yes	1	1	0	0	1	0.59	0	0	0	0	0	0
CPJV-EX20-USWH0A-A1S3	B07Z52FDF4	B07Z52FDF4	VIVIMAGE Explore 2 Mini WiFi Projector, 4500 Lux 1080P Supported Projector, 40,000 Hours Lamp Life with Synchronize Smartphone Screen, Compatible with TV Stick, HDMI, TV Box, PS4, Include Tripod	New	169.99	No		Yes	2	2	0	0	2	0.26	0	0	0	0	0	0
CSKH-A80S-USWH0A-A1S3	B07MZ2WFLJ	B07MZ2WFLJ	HeimVision Sunrise Alarm Clock, Smart Wake up Light Sleep Aid Digital Alarm Clock with Sunset Simulation and FM Radio, 4 Alarms /7 Alarm Sounds/Snooze/20 Brightness	New	49.99	No		Yes	8	0	8	0	308	0.11	0	300	0	0	0	0
CTAK-Z1AA-USBK1A-A1S1	X0023K85JT	B07PXB4F7N	Vankyo MatrixPad Z1 7 inch Tablet, Android 8.1 Oreo Go Edition, 32GB Storage, Quad-Core Processor, IPS HD Display, Wi-Fi, Bluetooth, Black	New	99.99	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
CTAK-Z1AA-USBK1A-A1S2	B07PXB4F7N	B07PXB4F7N	Vankyo MatrixPad Z1 7 inch Tablet, Android 8.1 Oreo Go Edition, 32GB Storage, Quad-Core Processor, IPS HD Display, Wi-Fi, Bluetooth, Black	New	66.99	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
KCA-5A005-USWH5A-S1A1	X002L0PZWV	B08BLNBVNL	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	New	41.99	No		Yes	0	0	0	0	15000	0.24	0	15000	0	0	0	0
KCA-A60C-USWH0A-S2A1	B07Y5WYQT1	B07Y5WYQT1	heimvision Music Wake Up Light, Sunrise Digital Alarm Clock with Snooze Sleep Aid Function, 6 Nature Sounds 7 Colored LED Night Light Wireless Speaker for Home, Kids, Party, Camping	New	29.99	No		Yes	34	30	3	1	34	0.1	0	0	0	0	0	0
KCA-A80S-USWH0A-A1S4-FBM	X002KGA481	B07MZ2WFLJ	HeimVision Sunrise Alarm Clock, Smart Wake up Light Sleep Aid Digital Alarm Clock with Sunset Simulation and FM Radio, 4 Alarms /7 Alarm Sounds/Snooze/20 Brightness	UsedGood	54.99	No		Yes	0	0	0	0	0	0.11	0	0	0	0	0	0
KCA-A80S-USWH0A-A1S5-FBM	X002KZTRRV	B07MZ2WFLJ	HeimVision Sunrise Alarm Clock, Smart Wake up Light Sleep Aid Digital Alarm Clock with Sunset Simulation and FM Radio, 4 Alarms /7 Alarm Sounds/Snooze/20 Brightness	New	39.99	No		Yes	0	0	0	0	0	0.11	0	0	0	0	0	0
