sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
LL04- CY75-USWH0A-A1S5	X002MHTDHL	B08DTVXNWM	Active Noise Cancelling Headphones VANKYO C750 Bluetooth Headphones Over Ear with Microphone Wireless Headset Hi-Fi Stereo Deep Bass with 30H Playtime, for Travel Work TV PC Tablet Cellphones Silver	New	79.99	No		Yes	0	0	0	0	200	0.04	200	0	0	0	0	0
LL04-C751XX-USBK0A-S12A1	X002MKWRSP	B0868MDSL5	Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for TV, PC, Cellphone	New	69.99	No		Yes	0	0	0	0	192	0.11	0	192	0	0	0	0
LL04-CM70-USRD0B-AS12	B07W22F9G3	B07W22F9G3	VANKYO Gaming Headset CM7000 with Authentic 7.1 Surround Sound Stereo PS4 Headset, Gaming Headphones with Noise Canceling Mic & Memory Foam Ear Pads for PC, PS4, Xbox One, Gamecube, Nintendo Switch	New	35.99	No		Yes	0	0	0	0	200	0.17	0	200	0	0	0	0
LL04-X180XX-CABK0A-A2S5	X002MGNP7L	B08G4G59ZC		Unknown					0	0	0	0	0		0	0	0	0	0	0
LL04-X180XX-USBK0A-A1S5	X002M7ESIP	B087423FSS	VANKYO Wireless Earbuds X180 in-Ear Bluetooth 5.0 Earphones for iPhone Android with USB-C Charging Case, IPX7 Waterproof Sport Headphones with Mic, Touch Control for Gym, Home, Office, Single/Twin	New	59.99	No		Yes	0	0	0	0	288	0.02	288	0	0	0	0	0
LL04-X200-CABU0A-A1S1	X002MMQEOB	B08FSSGRB3		Unknown					0	0	0	0	0		0	0	0	0	0	0
LL04-X200-USBK0A-S12A1	B07ZQCST89	B07ZQCST89	True Wireless Earbuds, VANKYO X200 Bluetooth 5.0 Earbuds in-Ear TWS Stereo Headphones with Smart LED Display Charging Case IPX8 Waterproof 120H Playtime Built-in Mic with Deep Bass for Sports Work	New	54.99	No		Yes	0	0	0	0	180	0.02	0	180	0	0	0	0
LL04-X200-USBU0A-A1S6	X002M7BUYZ	B08FSSGRB3	Wireless Earbuds, VANKYO X200 Bluetooth 5.0 Earbuds in-Ear TWS Stereo Headphones with Smart LED Display Charging Case IPX8 Waterproof 120H Playtime Built-in Mic with Deep Bass for Sports Work, Blue	New	49.99	No		Yes	0	0	0	0	200	0.01	0	200	0	0	0	0
LL04-X200-USBU0A-S6A1	B08FSSGRB3	B08FSSGRB3		Unknown					0	0	0	0	0		0	0	0	0	0	0
LL04-X400XX-USBK0A-S6A1	X002MKO95T	B08FLGHKHB	VANKYO X400 Earbuds	New	59.99	No		Yes	0	0	0	0	0		0	0	0	0	0	0
