sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
LFA-H82P-USBU1A-S1A1	X002ER0EZJ	B07H5J7YWH	SNAPTAIN H823H Mini Drone for Kids, RC Nano Quadcopter w/Altitude Hold, Headless Mode, 3D Flips, One Key Return and Speed Adjustment	New	69.99	No		Yes	131	129	0	2	131	0.07	0	0	0	0	0	0
SSP1--MM3C-USBK0A-AE2SE4	X002F1JK8L	B082186KCS	VanTop Moment 3 4K Action Camera w/Gopro Compatible Carrying Case,Remote Control,16MP Sony Sensor,30M Waterproof Camera w/Gopro Compatible Accessories,2 Batteries,170° Ultra Wide Angle	New	41.99	No		Yes	25	16	8	1	1225	0.1	1200	0	0	0	0	0
SSP1--MM40-USBK0A-AE2SE4	X002F1JFEZ	B0821FV3F6	VanTop 4K Action Camera 20MP Moment 4 Underwater Waterproof Camera with EIS, Touch Screen, Remote, 170° Wide Angle WiFi Sports Cam with 2 Batteries and Accessories Kit	New	79.99	No		Yes	118	7	23	87	5629	0.11	5400	0	111	1	0	0
SSP1-1A0003-USBK0A-AE1SE1	X002IS7AFV	B082YYS6HZ	SNAPTAIN SP550 Drone Battery Kits, Modular Rechargeable Battery with USB Cable for SNAPTAIN SP550 Foldable GPS RC Drone	New	99.99	No		Yes	0	0	0	0	100	0.01	100	0	0	0	0	0
SSP1-2A0002-USBK0A-AE1SE1	X002ISDJ6F	B083351Y1M	SNAPTAIN SP550 Drone Spare Parts Accessories Kits, Spare Propellers, USB Cable, Screws and Screwdriver for SNAPTAIN SP550 Foldable GPS RC Drone	New	99.99	No		Yes	0	0	0	0	100	0.01	100	0	0	0	0	0
SSP1-2A0010-USBK0A-AE1SE1	X002IC1LBB	B085ZM6RF5	VanTop V9H Dash Cam Hardwire Kit, 11.5ft Mini USB Hard Wire Kit for Dashcam Converts 12V-24V to 5V/2.5A w/Fuse Kit and Installation Tool, Low Voltage Protection for Dash Cameras	New	19.99	No		Yes	399	349	0	50	399	0.02	0	0	0	0	0	0
SSP1-2A0010-USBK0A-AE1SE2	X002KVHTJN	B085ZM6RF5	VanTop V9H Dash Cam Hardwire Kit, 11.5ft Mini USB Hard Wire Kit for Dashcam Converts 12V-24V to 5V/2.5A w/Fuse Kit and Installation Tool, Low Voltage Protection for Dash Cameras	New	15.99	No		Yes	6	1	0	5	6	0.02	0	0	0	0	0	0
SSP1-2A0017-USBK0A-AE1SE1	X002MGM1FD	B08GFZQ2CV	VanTop V9F Dash Cam Hardwire Kit, 11.5ft Mini USB Hard Wire Kit for Dashcam Converts 12V-24V to 5V/2.5A w/Fuse Kit and Installation Tool, Low Voltage Protection for Dash Cameras	New	19.99	No		Yes	0	0	0	0	200	0.02	200	0	0	0	0	0
SSP1-3A0006-UNBK0A-AE1SE1	X002KWRYW9	B08BF9D51Z	VanTop V1 4 Pin 9.8ft Extension Cable for Backup Camera Rear View Camera Extension Cord	New	9.99	No		Yes	74	69	0	5	77	0.01	0	0	3	0	0	0
SSP1-3A0006-UNBK0A-AE1SE2	X002MBPBA5	B08BF9D51Z	VanTop V1 4 Pin 9.8ft Extension Cable for Backup Camera Rear View Camera Extension Cord	New	10.99	No		Yes	0	0	0	0	240	0.01	0	240	0	0	0	0
SSP1-A10XXX-CAWH0A-AE1SE3	X002KVIHDZ	B085ZRY9FD		Unknown					0	0	0	0	0		0	0	0	0	0	0
SSP1-A10XXX-USWH0A-AC2SC3	X002I6FGKT	B086V8RPT6	SNAPTAIN A10 Mini Foldable Drone with 720P HD Camera FPV WiFi RC Quadcopter w/Voice Control, Gesture Control, Trajectory Flight, Circle Fly, High-Speed Rotation, 3D Flips, G-Sensor, Headless Mode	New	44.99	No		Yes	17	10	7	0	16169	0.04	16152	0	0	0	0	0
SSP1-A15H-CAGY0A-AE1SE3	X002JPC2RJ	B07ZJD3X2P		Unknown					0	0	0	0	0		0	0	0	0	0	0
SSP1-A15H-USGY0A-AE7SE3	X002HRKD61	B085GDH4FX	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	59.99	No		Yes	751	689	28	32	1711	0.17	960	0	0	2	0	0
SSP1-C02P-A15FXX-AE1SE2	X002LE2YW1	B08DFWGFYD		Unknown					0	0	0	0	0		0	0	0	0	0	0
SSP1-C02P-S5CXXX-AE1SE2	X002LNIVCJ	B08DJ1B6V7		Unknown					0	0	0	0	0		0	0	0	0	0	0
SSP1-CT25-UNBK0A-AE1SE3	X002JFV5IV	B087BVR1K3	2-in-1 Rechargeable Replacement Battery Kit for VanTop Moment 6S Action Camera	New	21.99	No		Yes	143	141	1	1	293	0	150	0	0	0	0	0
SSP1-H609XX-USBK0A-AE1SE1	X002HEFLAH	B084WWXPBS	VanTop H609 Dual 1080P Mirror Dash Cam with 10" IPS Full Touch Screen w/Waterproof Backup Rear View Camera, Night Vision, Parking Monitor, Loop Recording	New	99.99	No		Yes	180	180	0	0	180	0.11	0	0	0	0	0	0
SSP1-H609XX-USBK0A-AE1SE2	X002K8GMVH	B084WWXPBS	VanTop H609 Dual 1080P Mirror Dash Cam with 10" IPS Full Touch Screen w/Waterproof Backup Rear View Camera, Night Vision, Parking Monitor, Loop Recording	New	99.99	No		Yes	817	795	0	22	832	0.11	0	0	15	0	0	0
SSP1-H610-CABK0A-AE1SE1	X002MGLLX1	B08G4GYX1X		Unknown					0	0	0	0	0		0	0	0	0	0	0
SSP1-H610-USBK0A-AE1SE1	X002ISQP07	B07XZ1D226	VanTop H610 10" 2.5K Mirror Dash Cam for Cars with Full Touch Screen, Waterproof Backup Camera Rear View Mirror Camera, Enhanced Night Vision with Sony Starvis Sensor, Parking Assistance	New	99.99	No		Yes	0	0	0	0	1680	0.11	1680	0	0	0	0	0
SSP1-H612TX-USBK0A-AE1SE1	X002JX1EEN	B089SVCW1X	VanTop H612T 12 4K Mirror Dash Cam for Cars, Voice Control Full Touch Screen Rear View Mirror Camera, GPS Tracking, Waterproof Backup Camera 2.5K Max, 8MP Sony Sensor for Super Night Vision	New	169.99	No		Yes	17	0	6	10	1089	0.11	0	1072	0	1	0	0
SSP1-H612TX-USBK0A-AE1SE2	X002LTHW6J	B089SVCW1X	VanTop H612T 12 4K Mirror Dash Cam for Cars, Voice Control Full Touch Screen Rear View Mirror Camera, GPS Tracking, Waterproof Backup Camera 2.5K Max, 8MP Sony Sensor for Super Night Vision	New	159.99	No		Yes	371	13	0	358	1508	0.11	192	944	1	0	0	0
SSP1-H612XX-USBK0A-AE1SE1	X002LEUMPR	B08DF94H7D	VanTop H612 12" 2.5K Mirror Dash Cam for Cars w/Voice Control, GPS Tracking, IPS Full Touch Screen, Waterproof Backup Rear View Camera, Loop Recording, Night Vision, Parking Monitor	New	119.99	No		Yes	456	141	0	315	1400	0.12	800	0	144	0	0	0
SSP1-H823-CABU1A-AE1SE6	X002LIS09X	B07H5J53HN		Unknown					0	0	0	0	0		0	0	0	0	0	0
SSP1-H823HP-USGN0A-AE2SE3	X002I67VE3	B086TYM52B	SNAPTAIN H823H Mini Drone for Kids, RC Pocket Quadcopter with Altitude Hold, Headless Mode, 3D Flip, Speed Adjustment and 3 Batteries-Green	New	32.99	No		Yes	356	335	19	1	2050	0.07	1692	0	2	1	0	0
SSP1-K300-CAPK0A-AE1SE1	X002MMIN6N	B07JNHV88J		Unknown					0	0	0	0	0		0	0	0	0	0	0
SSP1-K300-USBU0A-AE5SE1	X002M1EINV	B08FB5WMJB	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	New	39.99	No		Yes	151	42	0	109	321	0.06	140	0	30	0	0	0
SSP1-K300-USPK0A-AE5SE1	X002M1KNJT	B08FB6892C	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	New	39.99	No		Yes	90	49	0	41	270	0.06	0	180	0	0	0	0
SSP1-K800-USPK0A-AE1SE1	X002L395GP	B07ZFT8GCL	VanTop Junior K8 Kids Camera with 32GB Memory Card, Selfie 1080P Supported Waterproof Video Camera w/ 8MP 2.4 Inch Large Screen, Fill Light, Face Recognition, 4 Games, Extra Kid-Proof Silicon Case	New	44.99	No		Yes	6	3	0	3	6	0.06	0	0	0	0	0	0
