sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
0X-60IQ-UGJQ	B07FPPSSRX	B07FPPSSRX		Unknown					3	0	3	0	3		0	0	0
121N-7E0001-UNBK0A	X0015X1KRL	B085W2MY3R		Unknown					31	31	0	0	31		0	0	0
A4-5834-XLM5	X0017ZZKXR	B08DY5BS8L		Unknown					0	0	0	0	0		0	0	0
AMY-L410-001	B07GXGT2K6	B07GXGT2K6		Unknown					268	0	268	0	268		0	0	0
AMY-L410-002	B07GXGT2K6	B07GXGT2K6		Unknown					268	0	268	0	268		0	0	0
B07ZGHSBFY	X0013LNBI1	B07ZGHSBFY		Unknown					53	0	53	0	53		0	0	0
CACK-PS04-DEWH3A	B08185HXV2	B08185HXV2		Unknown					245	201	36	8	545		300	0	0
CACK-PS04-GBWH3A	B07FDN244T	B07FDN244T		Unknown					1152	1122	24	6	1352		200	0	0
CACK-PT20-DEBK1A	X000W7FYVJ	B07GWC2MLF		Unknown					232	193	24	15	532		0	300	0
CACK-PT20-DEWH1A	X000W79AOL	B07GWFZPV8		Unknown					189	171	13	5	489		0	300	0
CACK-PT20-FRBK1A-A1S2	X000ZU8HGH	B07GS5WXBT		Unknown					1	0	1	0	361		180	180	0
CACK-PT20-FRWH1A-A1S2	X000ZU8HHL	B07GS3S7Z9		Unknown					1	0	0	1	661		480	180	0
CACK-PT20-GBBK1A	X000UPX2YT	B07D5CCMDN		Unknown					244	207	17	20	3768		3524	0	0
CACK-PT20-GBWH1B	X000UPX2SZ	B07D5D9DC4		Unknown					319	306	6	7	2879		2560	0	0
CACP-CT03-DEBK0A	X0011VV8P1	B07VHZJPBK		Unknown					439	426	10	3	439		0	0	0
CACP-CT05-DEBK0A	X0011V41RX	B07KXGCPY2		Unknown					535	534	1	0	535		0	0	0
CACP-CT06-UNBK0A-A2S1	B07MXV68QF	B07MXV68QF		Unknown					0	0	0	0	0		0	0	0
CACP-CT07-DEBK0A	X00107DVV5	B07QNVYX98		Unknown					366	349	14	3	366		0	0	0
CACP-CT09-DEBK0A	X0011N0JA9	B07TLB7HV9		Unknown					141	135	5	1	141		0	0	0
CACP-CT09-ITBK0A	X0013NOLHJ	B07ZLX6RJN		Unknown					172	170	1	1	172		0	0	0
CACT-CT01-DEBK0A	X00121JIIJ	B07M9J8KRQ		Unknown					31	30	1	0	231		200	0	0
CACT-CT02-DEBK0A	X0011N3HD5	B07MNDJ2DN		Unknown					325	313	6	6	325		0	0	0
CACT-CT02-FRBK0A	X000ZWCQ6H	B07LFVKLX6		Unknown					143	139	2	2	143		0	0	0
CACT-TS60-DEBU4A	X000Z5HXQR	B07MBHXGYM		Unknown					1	0	1	0	1		0	0	0
CACT-TS60-GBBU4A-A1S1	B07MBGNGFZ	B07MBGNGFZ		Unknown					4	4	0	0	4		0	0	0
CGPT-MM3C-CABK0A	B07HWL4KS6	B07HWL4KS6		Unknown					0	0	0	0	0		0	0	0
CGPT-MM3C-CABK0A-A1S2	B07HWL4KS6	B07HWL4KS6		Unknown					0	0	0	0	0		0	0	0
CGPT-MM3C-DEBK0A	B07HRCF5D2	B07HRCF5D2		Unknown					78	0	78	0	78		0	0	0
CGPT-MM3C-FRBK0A	B07HT3ZFRS	B07HT3ZFRS		Unknown					37	0	37	0	37		0	0	0
CGPT-MM40-DEBK-A1S1	B07H3LS67S	B07H3LS67S		Unknown					115	0	115	0	115		0	0	0
