sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-reserved-future-supply	afn-future-supply-buyable
0X-60IQ-UGJQ	B07FPPSSRX	B07FPPSSRX		Unknown					3	0	3	0	3		0	0	0	0	0
121N-7E0001-UNBK0A	X0015X1KRL	B085W2MY3R	tripod	New	19.99	No		Yes	31	31	0	0	31	550.77	0	0	0	0	0
A4-5834-XLM5	X0017ZZKXR	B08DY5BS8L		Unknown					0	0	0	0	0		0	0	0	0	0
AMY-L410-001	B07GXGT2K6	B07GXGT2K6	VANKYO L410 Portable Mini Projector, 4800 Lumens Video Projector Support 1080P and 176'' Display w/ 50,000 Hrs Lamp Life, Compatible w/ Smartphone, TV Stick, PS4, HDMI, VGA, TF, AV and USB, XBOX	New	299.99	No		Yes	268	0	268	0	268	7534.94	0	0	0	0	0
AMY-L410-002	B07GXGT2K6	B07GXGT2K6	VANKYO L410 Portable Mini Projector, 4800 Lumens Video Projector Support 1080P and 176'' Display w/ 50,000 Hrs Lamp Life, Compatible w/ Smartphone, TV Stick, PS4, HDMI, VGA, TF, AV and USB, XBOX	New	76.99	No		Yes	268	0	268	0	268	7534.94	0	0	0	0	0
B07ZGHSBFY	X0013LNBI1	B07ZGHSBFY		Unknown					53	0	53	0	53		0	0	0	0	0
CACK-PS04-DEWH3A	B08185HXV2	B08185HXV2		Unknown					245	201	36	8	545		300	0	0	0	0
CACK-PS04-GBWH3A	B07FDN244T	B07FDN244T	VANKYO Projector Screen 100 inches 16:9 Portable Indoor Outdoor Projection Polyester Spandex Movie Screen Foldable Wall Mounted with Peel and Hooks	New	29.99	No		Yes	1152	1122	24	6	1352	6666.59	200	0	0	0	0
CACK-PT20-DEBK1A	X000W7FYVJ	B07GWC2MLF		Unknown					232	193	24	15	532		0	300	0	0	0
CACK-PT20-DEWH1A	X000W79AOL	B07GWFZPV8		Unknown					189	171	13	5	489		0	300	0	0	0
CACK-PT20-FRBK1A-A1S2	X000ZU8HGH	B07GS5WXBT		Unknown					1	0	1	0	361		180	180	0	0	0
CACK-PT20-FRWH1A-A1S2	X000ZU8HHL	B07GS3S7Z9		Unknown					1	0	0	1	661		480	180	0	0	0
