sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
1VK--CM70-USRD0B-S10A1	B07W22F9G3	B07W22F9G3	VANKYO Gaming Headset CM7000 with Authentic 7.1 Surround Sound Stereo PS4 Headset, Gaming Headphones with Noise Canceling Mic & Memory Foam Ear Pads for PC, PS4, Xbox One, Gamecube, Nintendo Switch	New	32.99	No		Yes	6064	3785	24	2255	8230	0.17	1000	0	1166	0	0	0
1VK-A10CXX-USWH0A-A1S1	X002L99OPV	B07GV5FSC5	heimvision LED Digital Alarm Clock, Dual Alarm, 5 Brightness&13 Alarm Ringtones, Bedside Clock with Built-in Sound Senor, Temperature, Snooze, Portable Clock for Home and Travel	New	99.99	No		Yes	353	346	0	7	2153	0.02	1800	0	0	0	0	0
1VK-A80S-USWH0A-A1S1	X002KNAQFP	B07MZ2WFLJ	HeimVision Sunrise Alarm Clock, Smart Wake up Light Sleep Aid Digital Alarm Clock with Sunset Simulation and FM Radio, 4 Alarms /7 Alarm Sounds/Snooze/20 Brightness	New	59.99	No		Yes	86	67	7	5	956	0.11	870	0	0	7	0	0
1VK-ASK26X-USWH0A-A1S2	X002LZMQTB	B08DKYC4D5	HeimVision Assure K26 1080P Security Camera System, 8CH 1080N DVR 4Pcs 1920TVL Outdoor Wired CCTV Camera with Night Vision, Motion Alert, Remote Access, No Hard Drive	New	139.99	No		Yes	0	0	0	0	200	0.64	200	0	0	0	0	0
1VK-B101-USWH0A-A1S1	X002IHWQY7	B07RGGCJB4	VANKYO Burger 101 Pico Projector, Rechargeable DLP Wireless Mini Projector Supports 1080P and 3D with HDMI, USB, Compatible with iPhone, Android, Laptop for Home Entertainment, Outdoor Movies	New	209.99	No		Yes	32	0	2	28	128	0.14	0	0	96	2	0	0
1VK-C100XX-USWH2A-A1S1	X002IY6P8D	B088N6ZHF1	VANKYO Cinemango 100 Projector for Outdoor Movies, 4500Lux Mini Projector with 1080P Supported, 220 Display, 55,000 Hours LED Lamp Life, Compatible with HDMI/TV Stick/TV Box/PS4 for Entertainment	New	129.99	No		Yes	0	0	0	0	200	0.3	200	0	0	0	0	0
1VK-C100XX-USWH2A-A1S2	X002L9M26J	B088N6ZHF1	VANKYO Cinemango 100 Projector for Outdoor Movies, 4500Lux Mini Projector with 1080P Supported, 220 Display, 55,000 Hours LED Lamp Life, Compatible with HDMI/TV Stick/TV Box/PS4 for Entertainment	New	109.99	No		Yes	0	0	0	0	0	0.3	0	0	0	0	0	0
1VK-C480-USSV0A-A1S1	X002HE9DPB	B07SPCMZ3S	VIVIMAGE C480 Mini Projector, 3800 Lux 1080P Supported and 170'' Display Portable Video Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	New	99.99	No		Yes	439	418	8	13	939	0.22	500	0	0	0	0	0
1VK-C680-USSV0A-A1S1	X002HE9CYD	B07XD25GCJ	VIVIMAGE C680 Native 1080p Projector, 6500 Lux Full HD LED Home Theater Movie Projector 60Hz Compatible TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	New	229.99	No		Yes	92	52	31	8	92	0.59	0	0	0	1	0	0
1VK-CY75-USSV0A-A1S5	X002KMIVEJ	B087R2R8S6	Active Noise Cancelling Headphones VANKYO C750 Bluetooth Headphones Over Ear with Microphone Wireless Headset Hi-Fi Stereo Deep Bass with 30H Playtime, Protein Earpads for Travel Work TV PC Cellphones	New	72.99	No		Yes	1925	1425	6	485	3305	0.08	300	1040	40	9	0	0
