sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
VTX1- S350-USBU0A- AD1SD3	X002CQ94PX	B07YV417S1	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls	New	34.99	No		Yes	0	0	0	0	2400	0.05	2400	0	0	0	0	0
VTX1- S700-USCA0A-AD1SD3	X002E6ZH3T	B07ZM8MVKX	SNAPTAIN SP700 GPS Drone with Brushless Motor, 5G WiFi FPV RC Drone for Adult with 2K Camera Live Video, Follow Me, APP Control, GPS RTH, Circle Fly, Point of Interest, Module Battery	New	189.99	No		Yes	153	140	4	7	441	0.64	200	0	88	2	0	0
VTX1-1A0001-USBK0A-AD1SD3	X002I6AL9P	B083LTTLWG	SNAPTAIN SP700 Drone Battery	New	42.99	No		Yes	166	156	0	9	167	0.02	0	0	1	1	0	0
VTX1-1A0006-USWH0A-AD1SD1	X002M7DP43	B088K9NMZQ	SNAPTAIN A10 Mini Drone Battery 3.7V 380mAh Modular Rechargeable Li-po Battery (2 Piece) with 2 in 1 Charging Cables for SNAPTAIN A10 Foldable FPV WiFi Drone	New	19.99	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
VTX1-2A0010-USBK0A-AD1SD1	X002HRKLD1	B085ZM6RF5	VanTop V9H Dash Cam Hardwire Kit, 11.5ft Mini USB Hard Wire Kit for Dashcam Converts 12V-24V to 5V/2.5A w/Fuse Kit and Installation Tool, Low Voltage Protection for Dash Cameras	New	99.99	No		Yes	299	299	0	0	601	0.02	300	0	2	0	0	0
VTX1-2A0017-USBK0A-AD1SD1	X002MG7OB9	B08GFZQ2CV	VanTop V9F Dash Cam Hardwire Kit, 11.5ft Mini USB Hard Wire Kit for Dashcam Converts 12V-24V to 5V/2.5A w/Fuse Kit and Installation Tool, Low Voltage Protection for Dash Cameras	New	19.99	No		Yes	0	0	0	0	200	0.02	200	0	0	0	0	0
VTX1-A10XXX-USWH0A-AD2SD4	X002I9RFUZ	B086V8RPT6	SNAPTAIN A10 Mini Foldable Drone with 720P HD Camera FPV WiFi RC Quadcopter w/Voice Control, Gesture Control, Trajectory Flight, Circle Fly, High-Speed Rotation, 3D Flips, G-Sensor, Headless Mode	New	39.99	No		Yes	1012	989	4	19	3018	0.04	1968	0	38	0	0	0
VTX1-A15H-USGY0A-AD2SD7	X00294UTWF	B07P6PRXLH	SNAPTAIN A15 Foldable FPV WiFi Drone w/Voice Control/120°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	94.99	No		Yes	272	104	6	160	272	0.17	0	0	0	2	0	0
VTX1-A15H-USGY0A-AD2SD8	X002F5W2WX	B07P6PRXLH	SNAPTAIN A15 Foldable FPV WiFi Drone w/Voice Control/120°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	99.99	No		Yes	6	0	4	2	6	0.17	0	0	0	0	0	0
VTX1-A15H-USGY0A-AD7SD4	X002I6KIYX	B085GDH4FX	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	New	69.99	No		Yes	1909	1424	5	476	4010	0.17	1680	0	421	4	0	0
VTX1-AK02-USBK0A-AD1SD3	X002IS6X4P	B07X3R2CP6	SNAPTAIN Spare Parts Kits for SP650 Drone, with Propellers, Landing Gears, Propeller Guards, Screwdriver, Screws	New	69.99	No		Yes	0	0	0	0	1500	0.02	500	1000	0	0	0	0
