received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-26T00:00:00-07:00	X002J33ZZJ	LHA-C100XX-USWH2A-A1S1	VANKYO Cinemango 100 Projector for Outdoor Movies, 4500Lux Mini Projector with 1080P Supported, 220 Display, 55,000 Hours LED Lamp Life, Compatible with HDMI/TV Stick/TV Box/PS4 for Entertainment	50	FBA15NPQTJL3	IND9
2020-08-26T00:00:00-07:00	X002J33ZZJ	LHA-C100XX-USWH2A-A1S1	VANKYO Cinemango 100 Projector for Outdoor Movies, 4500Lux Mini Projector with 1080P Supported, 220 Display, 55,000 Hours LED Lamp Life, Compatible with HDMI/TV Stick/TV Box/PS4 for Entertainment	30	FBA15NPQTJL3	MDW2
2020-08-26T00:00:00-07:00	X002K81JSD	LHA-PS05-USWH5A-S1A1	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	60	FBA15NPWVV32	IND9
2020-08-26T00:00:00-07:00	X002L2OE2B	LHA-5A0005-USWH5A-S1A1	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	259	FBA15PX5MMMG	IND9
2020-08-27T00:00:00-07:00	X002K7Q7KT	LHA-PS05-USWH4A-S1A1	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	2	FBA15NC44LJ2	LEX2
2020-08-27T00:00:00-07:00	X002LBBHBD	LHA-L430WX-USWH2A-S1A4	VANKYO Leisure 430W Mini Wi-Fi Projector, Full HD 1080P Supported Projector with Synchronize Smart Phone Screen, Video Portable Projector Compatible with iOS/Android Devices, Windows , TV Stick, PS4	100	FBA15P7KD1FG	IND9
2020-08-27T00:00:00-07:00	X002LBBHBD	LHA-L430WX-USWH2A-S1A4	VANKYO Leisure 430W Mini Wi-Fi Projector, Full HD 1080P Supported Projector with Synchronize Smart Phone Screen, Video Portable Projector Compatible with iOS/Android Devices, Windows , TV Stick, PS4	200	FBA15P7PKPLN	IND9
2020-08-27T00:00:00-07:00	B08B63Z4T4	LHA-LS3PRO-USWH2A-S1A1	VANKYO Leisure 3 Pro (2020 Upgraded) Mini Projector w/ Synchronize Smartphone Screen, [Native 720P] WiFi Portable Projector Supports 1080P, Compatible with iPhone, Android Devices,TV Stick and HDMI	30	FBA15Q8CSTRQ	IND9
2020-08-25T00:00:00-07:00	X002M66UQT	LHA-VKS200-USBU0A-S2A1	SNUGMAX Vickers 200 Portable Power Station with 222Wh Backup Lithium Battery, Solar Generator with 110V/200W Pure Sine Wave AC Outlet & Type-C Port for Indoor CPAP Outdoors Camping Travel Emergency	12	FBA15Q06RHTG	PCA1
2020-08-25T00:00:00-07:00	X002K81JSD	LHA-PS05-USWH5A-S1A1	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	40	FBA15NPWVV32	IND9
