received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-26T00:00:00-07:00	X002BSNOD5	VNTP1-S500-USBK0A-AC1SC1	SNAPTAIN SP500 Foldable GPS FPV Drone with 1080P HD Camera Live Video for Beginners, RC Quadcopter with GPS Return Home, Follow Me, Gesture Control, Circle Fly, Auto Hover & 5G WiFi Transmission	1	FBA15MBPGGHQ	PHX6
2020-08-26T00:00:00-07:00	X002HRK46F	VNTP1-2A0010-USBK0A-AC1SC1	VanTop V9H Dash Cam Hardwire Kit, 11.5ft Mini USB Hard Wire Kit for Dashcam Converts 12V-24V to 5V/2.5A w/Fuse Kit and Installation Tool, Low Voltage Protection for Dash Cameras	-1	FBA15PM3R39K	LAS1
2020-08-26T00:00:00-07:00	X002FD9EA3	VNTP1-S350-CABU0A-AC1SC1	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls	138	FBA15MWTPMDQ	YYZ1
2020-08-26T00:00:00-07:00	X0023IVKDJ	CUVP-S5C0-USBK6A-A1S5	SNAPTAIN S5C WiFi FPV Drone with 720P HD Camera,Voice Control, Wide-Angle Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function, RTF One Key Take Off/Landing, Compatible w/VR Headset	1	FBA15LSTKVJ9	CMH1
2020-08-26T00:00:00-07:00	X002FD9EA3	VNTP1-S350-CABU0A-AC1SC1	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls	48	FBA15P09B8MX	YYZ1
2020-08-26T00:00:00-07:00	X002LEXQCD	VNTP1-CT09-USBK0A-AC1SC3	SNAPTAIN H823H Plus Drone Battery Accessories, 3.7V 300mAh Rechargeable Lipo Battery (4 Pieces) with 2 in 1 Charging Cables (2 Pieces) and Spare Parts Drone Accessories Kits for SNATAIN H823H Plus	-1	FBA15P8K3CHZ	LAS1
2020-08-26T00:00:00-07:00	X002GX87SR	VNTP1-H610-USBK0A-AC1SC2	VanTop H610 10" 2.5K Mirror Dash Cam for Cars with Full Touch Screen, Waterproof Backup Camera Rear View Mirror Camera, Enhanced Night Vision with Sony Starvis Sensor, Parking Assistance	560	FBA15MBFCCCB	LGB8
2020-08-26T00:00:00-07:00	X002GX87SR	VNTP1-H610-USBK0A-AC1SC2	VanTop H610 10" 2.5K Mirror Dash Cam for Cars with Full Touch Screen, Waterproof Backup Camera Rear View Mirror Camera, Enhanced Night Vision with Sony Starvis Sensor, Parking Assistance	528	FBA15MBF8G0P	LGB8
2020-08-26T00:00:00-07:00	X002JZKA2N	VNTP1-3A0006-UNBK0A-AC1SC1	VanTop V1 4 Pin 9.8ft Extension Cable for Backup Camera Rear View Camera Extension Cord	80	FBA15PVFZL7N	LAS1
2020-08-26T00:00:00-07:00	X002A9S2K5	CUVP-H823-USBU1A-A1S5	SNAPTAIN H823H Mini Drone for Kids, RC Nano Quadcopter w/Altitude Hold, Headless Mode, 3D Flips, One Key Return and Speed Adjustment	1200	FBA15LSSKR9B	LGB8
2020-08-26T00:00:00-07:00	X002DRTF4B	VNTP1-AK07-USBK0A-AC1SC1	SNAPTAIN Drone Spare Parts Accessories Kits for SNAPTAIN SP500 GPS Foldable FPV Drone	-80	FBA15PG6L4GX	LAS1
2020-08-26T00:00:00-07:00	X0029XF93F	VNTP1-S650-USBK6A-AC1SC1	SNAPTAIN SP650 1080P Drone with Camera for Adults 1080P HD Live Video Camera Drone for Beginners w/Voice Control, Gesture Control, Circle Fly, High-Speed Rotation, Altitude Hold, Headless Mode	216	FBA15LS8RW2F	LGB8
