received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-26T00:00:00-07:00	X002HE9UGN	1VK-EX2PDX-USWH2A-A1S1	VIVIMAGE Explore 2 Mini WiFi Projector, 4500 Lux 1080P Supported Projector, 40,000 Hours Lamp Life with Synchronize Smartphone Screen, Compatible with TV Stick, HDMI, TV Box, PS4, Include Tripod	160	FBA15P5DCN1T	ABE8
2020-08-26T00:00:00-07:00	X002IKSKXF	2VK-LS30-CAWH0A-A1S1	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	10	FBA15NPS1RVZ	YYC1
2020-08-26T00:00:00-07:00	X002KKHH2N	1VK-V600-USSV0A-A1S1	VANKYO Performance V600 Native 1080P LED Projector, HDMI Projector with 300" Display Compatible with TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	1	FBA15NX4X61X	BHM1
2020-08-26T00:00:00-07:00	B078KF8CSX	1VK-LS30-USWH0A-A1S1	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	190	FBA15NM515YJ	ABE8
2020-08-26T00:00:00-07:00	X002KNM51N	1VK-S20H-USGY4A-A1S1	VANKYO MatrixPad S20 10 inch Tablet, Octa-Core Processor, 3GB RAM, 32GB ROM, Android 9.0 Pie, IPS HD Display, Bluetooth 5.0, 5G WiFi, GPS, USB C,Metal Body, Gray	10	FBA15NM3450S	ABE8
2020-08-26T00:00:00-07:00	X002L1CD9D	1VK-H241-USWH0A-A1S6N	heimvision HM241 1080P Wireless Security Camera System, 8CH NVR 4Pcs Outdoor WiFi Surveillance Camera with Night Vision, Waterproof, Motion Alert, Remote Access, No Hard Disk	5	FBA15PD4Z116	ABE8
2020-08-26T00:00:00-07:00	X002KMIVEJ	1VK-CY75-USSV0A-A1S5	Active Noise Cancelling Headphones VANKYO C750 Bluetooth Headphones Over Ear with Microphone Wireless Headset Hi-Fi Stereo Deep Bass with 30H Playtime, Protein Earpads for Travel Work TV PC Cellphones	20	FBA15NZ3FSDF	LAS7
2020-08-26T00:00:00-07:00	X002IHJDGV	1VK-LS3WDX-USBK1A-A1S1	VANKYO Leisure 3W Mini Projector with Synchronize Smartphone Screen, 3600L Portable WiFi Projector Supports 1080P for iOS/Android Devices, Compatible with TV Stick, PS4, HDMI for Home & Outdoor	30	FBA15NYSBF2K	ABE8
2020-08-26T00:00:00-07:00	B078KF8CSX	1VK-LS30-USWH0A-A1S1	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	30	FBA15NZ7BBY9	ABE8
2020-08-26T00:00:00-07:00	X002IKSKXF	2VK-LS30-CAWH0A-A1S1	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	1	FBA15N87FH0D	YYZ4
2020-08-26T00:00:00-07:00	X002KKHH2N	1VK-V600-USSV0A-A1S1	VANKYO Performance V600 Native 1080P LED Projector, HDMI Projector with 300" Display Compatible with TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	-1	FBA15NJYMH7M	BHM1
2020-08-26T00:00:00-07:00	X002HE9UZJ	1VK-EX30-USWH0A-A1S1	VIVIMAGE Explore 3 Projector for Outdoor Movies, 6800 Lux Full HD 300" Native 1080P Projector 60Hz Compatible TV Stick, 2 HDMI, VGA, Smartphone, PC, TV Box, PS4, ±40° Electronic Keystone Correction	-1	FBA15MZJ0YK4	HOU3
2020-08-26T00:00:00-07:00	B078KF8CSX	1VK-LS30-USWH0A-A1S1	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	-3	FBA15NZW92FS	BDL3
2020-08-26T00:00:00-07:00	X002L1CD9D	1VK-H241-USWH0A-A1S6N	heimvision HM241 1080P Wireless Security Camera System, 8CH NVR 4Pcs Outdoor WiFi Surveillance Camera with Night Vision, Waterproof, Motion Alert, Remote Access, No Hard Disk	13	FBA15PPGKW5Z	ABE8
