received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-26T00:00:00-07:00	B07Z7FSQHN	SM1-V630-USWH0A-1S2	VANKYO Performance V630 Native 1080P Full HD Projector, 300" LED Projector w/ ±45° Electronic Keystone Correction, Compatible w/ TV Stick, HDMI, Laptop, Smartphone for Home/Business Use	1	FBA15NZGY0BD	CHA1
2020-08-26T00:00:00-07:00	X002F7AJA3	SM2-B101-CAWH0A-1S3	VANKYO Burger 101 Dlp Mini WiFi Projector, 3D Pico Projector with 100" Display, Built-in System and FULL HD 1080P Supported, Suitable for Home Theater	299	FBA15NZGGHF9	YYZ2
2020-08-26T00:00:00-07:00	X002L5RJ6V	SM1-5A0005-USWH5A-1S1	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	60	FBA15PJ4K1YK	LAS1
2020-08-26T00:00:00-07:00	X002IKR5IB	SM2--H203-CAWH0A-A1S5	HeimVision HM203 Security Camera, 1080P Surveillance WiFi Camera with Night Vision/PTZ/Two-Way Audio, 2.4Ghz Wireless Home IP Camera for Pet/ Baby/ Elder/ Dog Camera Monitor, Cloud Service/ MicroSD Support	1	FBA15P8QPS5S	YYZ4
2020-08-26T00:00:00-07:00	X002J7QWS7	SM1-LS30-USWH0A-1S3-N	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	-2	FBA15NS5DYHB	FTW1
2020-08-26T00:00:00-07:00	X002J7QWS7	SM1-LS30-USWH0A-1S3-N	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	20	FBA15N712933	MSP1
2020-08-26T00:00:00-07:00	X002EPMX5Z	SM2-L470-CAWH0A-1S5	Wireless Display Adapter Dongle, 5G/2.4G HDMI Display Adapter Receiver, 4K& Dual Band&1080P Wireless WiFi Adapter Miracast Mirroring Screen (Wireless Adapter Black&White)	1	FBA15MKJG595	YYZ4
2020-08-26T00:00:00-07:00	X002J7QWS7	SM1-LS30-USWH0A-1S3-N	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	10	FBA15N9JMRRT	FTW1
2020-08-26T00:00:00-07:00	X002J6JV45	SM2-L470-CAWH0B-3S1	Wireless Display Adapter Dongle, 5G/2.4G HDMI Display Adapter Receiver, 4K& Dual Band&1080P Wireless WiFi Adapter Miracast Mirroring Screen (Wireless Adapter Black&White)	-1	FBA15NM0B6TT	YYZ4
2020-08-26T00:00:00-07:00	X002L5RJ6V	SM1-5A0005-USWH5A-1S1	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	120	FBA15PJ5PVTC	LAS1
2020-08-26T00:00:00-07:00	B07ZSCWL6C	SM1-L470-USWH0A-2S2	VANKYO Leisure 470 Mini Projector with Synchronize Smart Phone Screen, Full HD 1080P Supported and 250 Display, 4000 Lux WiFi Portable Projector Compatible with TV Stick, PS4, HDMI, VGA, TF, AV, USB	1	FBA15P3CLM5X	SMF1
2020-08-26T00:00:00-07:00	X002H4860J	SM1-H241-USWH0A-2S3N	heimvision HM241 1080P Wireless Security Camera System, 8CH NVR 4Pcs Outdoor WiFi Surveillance Camera with Night Vision, Waterproof, Motion Alert, Remote Access, No Hard Disk	1	FBA15N5TF5PV	OAK4
2020-08-26T00:00:00-07:00	X002L0T9QJ	SM1-HM241A-USWH0A-1S2	HeimVision HM241A 1080P Wireless Security Camera System with 1TB Hard Drive, 8CH NVR 4Pcs Outdoor WiFi Surveillance Camera with Night Vision, Waterproof, Motion Alert, Remote Access	76	FBA15PHFSGPK	LAS1
2020-08-26T00:00:00-07:00	X002F7UP75	SM1-PT20-USWH1A-A1S1	VANKYO Aluminum Tripod Projector Stand, Adjustable Laptop Stand, Multi-Function Stand, Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (1-Silver)	-1	FBA15NGBHK90	BHM1
2020-08-26T00:00:00-07:00	X002CDMB3X	SM1-HMD2-USWH0A-S5A1	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi Cameras with Cloud Service	39	FBA15PH39V7G	LAS1
2020-08-26T00:00:00-07:00	B07NBNCNLM	CPJK-V600-USSV0A-A4S8	VANKYO Performance V600 Native 1080P LED Projector, HDMI Projector with 300" Display Compatible with TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	-3	FBA15P39PP82	SMF1
2020-08-26T00:00:00-07:00	X002H4860J	SM1-H241-USWH0A-2S3N	heimvision HM241 1080P Wireless Security Camera System, 8CH NVR 4Pcs Outdoor WiFi Surveillance Camera with Night Vision, Waterproof, Motion Alert, Remote Access, No Hard Disk	-4	FBA15N5TF5PV	SMF1
2020-08-26T00:00:00-07:00	X002HRM139	SM2--H203-CAWH0A-A1S4	HeimVision HM203 Security Camera, 1080P Surveillance WiFi Camera with Night Vision/PTZ/Two-Way Audio, 2.4Ghz Wireless Home IP Camera for Pet/ Baby/ Elder/ Dog Camera Monitor, Cloud Service/ MicroSD Support	-9	FBA15N78L3Y0	YYZ4
2020-08-26T00:00:00-07:00	X002CTURVZ	SM1-V630-USWH0A-1S1	VANKYO Performance V630 Native 1080P Full HD Projector, 300" LED Projector w/ ±45° Electronic Keystone Correction, Compatible w/ TV Stick, HDMI, Laptop, Smartphone for Home/Business Use	-5	FBA15NZKPPNV	STL8
2020-08-26T00:00:00-07:00	X002J7QWS7	SM1-LS30-USWH0A-1S3-N	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	4	FBA15N54DT63	FTW1
2020-08-26T00:00:00-07:00	X002K4XGRJ	SM1-PS05-USWH5A-1S2	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160°Viewing Cone) for Home Theater, Support Front & Rear Projection	0	FBA15NPVGGRW	MDW2
2020-08-26T00:00:00-07:00	X002CDMB3X	SM1-HMD2-USWH0A-S5A1	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi Cameras with Cloud Service	360	FBA15P5SDB76	LAS1
2020-08-26T00:00:00-07:00	X002I1U22B	SM1-LS3W-USWH0A-1S2	VANKYO Leisure 3W Mini Projector with Synchronize Smartphone Screen, 3600L Portable WiFi Projector Supports 1080P for iOS/Android Devices, Compatible with TV Stick, PS4, HDMI for Home & Outdoor	380	FBA15NGWFYXS	FTW1
2020-08-26T00:00:00-07:00	X002DY108X	SM1-H203-USWH0A-2S1	HeimVision 1080P Security Camera, HM203 UG WiFi Home Indoor Camera with Smart Night Vision/2 Way Audio/Motion Detection, Wireless IP Dog Camera for Baby/Pet/Nanny Monitor, Cloud/MicroSD Support	264	FBA15P5M1Z1L	TPA1
2020-08-27T00:00:00-07:00	X002I9U1OH	SM1-PT20-USBK0A-1S1	VANKYO Aluminum Tripod Projector Stand, Adjustable Laptop Stand, Multi-Function Stand, Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (2-Black)	6	FBA15NG6Z44W	BHM1
2020-08-26T00:00:00-07:00	X002EMAJJ5	SM1-LS30-USWH0A-1S1	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	-2	FBA15NT7XP3P	TUS2
2020-08-26T00:00:00-07:00	B07ZSCWL6C	SM1-L470-USWH0A-2S2	VANKYO Leisure 470 Mini Projector with Synchronize Smart Phone Screen, Full HD 1080P Supported and 250 Display, 4000 Lux WiFi Portable Projector Compatible with TV Stick, PS4, HDMI, VGA, TF, AV, USB	110	FBA15N9QQ0R9	AVP1
2020-08-26T00:00:00-07:00	B07ZSCWL6C	SM1-L470-USWH0A-2S2	VANKYO Leisure 470 Mini Projector with Synchronize Smart Phone Screen, Full HD 1080P Supported and 250 Display, 4000 Lux WiFi Portable Projector Compatible with TV Stick, PS4, HDMI, VGA, TF, AV, USB	190	FBA15N9MGL5N	ONT8
2020-08-27T00:00:00-07:00	X002J7QWS7	SM1-LS30-USWH0A-1S3-N	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	20	FBA15N0YVWXH	FTW1
2020-08-27T00:00:00-07:00	B07NBNCNLM	CPJK-V600-USSV0A-A4S8	VANKYO Performance V600 Native 1080P LED Projector, HDMI Projector with 300" Display Compatible with TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	4	FBA15MW91PF5	FTW1
2020-08-27T00:00:00-07:00	B07ZSCWL6C	SM1-L470-USWH0A-2S2	VANKYO Leisure 470 Mini Projector with Synchronize Smart Phone Screen, Full HD 1080P Supported and 250 Display, 4000 Lux WiFi Portable Projector Compatible with TV Stick, PS4, HDMI, VGA, TF, AV, USB	30	FBA15N9MGL5N	ONT8
2020-08-27T00:00:00-07:00	B07ZSCWL6C	SM1-L470-USWH0A-2S2	VANKYO Leisure 470 Mini Projector with Synchronize Smart Phone Screen, Full HD 1080P Supported and 250 Display, 4000 Lux WiFi Portable Projector Compatible with TV Stick, PS4, HDMI, VGA, TF, AV, USB	160	FBA15N9QQ0R9	AVP1
2020-08-27T00:00:00-07:00	X002JI9ZBR	SM1-SE01-USBK0A-1S1	Solar Panel Compatible with HeimVision HMD2 Rechargeable Battery Security Camera, Waterproof 3.2W/ 5.5V Solar Panel with 13ft/ 4m USB Cable, Support Continuously Supply Power for Security Camera	2	FBA15P5S82HB	CAE1
2020-08-26T00:00:00-07:00	B07ZSCWL6C	SM1-L470-USWH0A-2S2	VANKYO Leisure 470 Mini Projector with Synchronize Smart Phone Screen, Full HD 1080P Supported and 250 Display, 4000 Lux WiFi Portable Projector Compatible with TV Stick, PS4, HDMI, VGA, TF, AV, USB	20	FBA15P3CLD64	LAS1
2020-08-26T00:00:00-07:00	X002J7QWS7	SM1-LS30-USWH0A-1S3-N	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	10	FBA15N0YVWXH	FTW1
2020-08-26T00:00:00-07:00	B07NBNCNLM	CPJK-V600-USSV0A-A4S8	VANKYO Performance V600 Native 1080P LED Projector, HDMI Projector with 300" Display Compatible with TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	12	FBA15MW91PF5	FTW1
2020-08-26T00:00:00-07:00	X002I91MV3	SM2-LS30-CAWH0A-1S3	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick, PS4, HDMI, VGA, TF, AV and USB	30	FBA15N88J9CR	YYZ4
2020-08-26T00:00:00-07:00	X002I9U1OH	SM1-PT20-USBK0A-1S1	VANKYO Aluminum Tripod Projector Stand, Adjustable Laptop Stand, Multi-Function Stand, Computer Stand Adjustable Height 17'' to 46'' for Laptop with Plate and Carrying Bag (2-Black)	1	FBA15N32MQMZ	BDL3
2020-08-26T00:00:00-07:00	B07W3SHSBK	SM1-BA04-USPK0A-1S1	VANKYO 7 inch Tablet Sleeve Bag, Fits with MatrixPad S7, Z1 Kids Tablet, iPad Mini 4 3 2 1, Galaxy Tab A 8.0 and Dragon Touch Y88X Plus/Y88X/M7 Kids Tablet, Pink	140	FBA15N1RNY2N	LAX9
2020-08-26T00:00:00-07:00	X002JCD50P	SMA-CM70-CARD0A-A1S3	VANKYO Gaming Headset CM7000 with Authentic 7.1 Surround Sound Stereo PS4 Headset, Gaming Headphones with Noise Canceling Mic & Memory Foam Ear Pads for PC, PS4, Xbox One, Gamecube, Nintendo Switch	240	FBA15NGXX4WG	YYZ7
2020-08-27T00:00:00-07:00	B07NBNCNLM	CPJK-V600-USSV0A-A4S8	VANKYO Performance V600 Native 1080P LED Projector, HDMI Projector with 300" Display Compatible with TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation	4	FBA15P357DNK	LAS1
2020-08-26T00:00:00-07:00	B0869DPZJ3	SM1-S10FAX-USBK3A-1S2	VANKYO MatrixPad S10 10 inch Tablet, 2 GB RAM, 32 GB Storage, Quad-Core Processor, Android OS, 10.1" IPS HD Display, Wi-Fi, USB Type C Port, GPS, FM, Slate Black	-1	FBA15N2YCDPZ	GRR1
2020-08-26T00:00:00-07:00	B0869DPZJ3	SM1-S10FAX-USBK3A-1S2	VANKYO MatrixPad S10 10 inch Tablet, 2 GB RAM, 32 GB Storage, Quad-Core Processor, Android OS, 10.1" IPS HD Display, Wi-Fi, USB Type C Port, GPS, FM, Slate Black	-3	FBA15N2YCDPZ	DTW1
2020-08-26T00:00:00-07:00	B0869DPZJ3	SM1-S10FAX-USBK3A-1S2	VANKYO MatrixPad S10 10 inch Tablet, 2 GB RAM, 32 GB Storage, Quad-Core Processor, Android OS, 10.1" IPS HD Display, Wi-Fi, USB Type C Port, GPS, FM, Slate Black	-5	FBA15N2YCDPZ	FAT1
2020-08-26T00:00:00-07:00	B0869DPZJ3	SM1-S10FAX-USBK3A-1S2	VANKYO MatrixPad S10 10 inch Tablet, 2 GB RAM, 32 GB Storage, Quad-Core Processor, Android OS, 10.1" IPS HD Display, Wi-Fi, USB Type C Port, GPS, FM, Slate Black	-1	FBA15N2YCDPZ	CLT4
