received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-27T00:00:00+00:00	X00166NEZD	VAN92-E20X-DEWH0A-N1S1	Kyvol Robot Vacuum Cleaner 2000 Pa Strong Suction Power Vacuum Cleaner Robot 150 Minutes Battery life robot vacuum cleaner, compatible with App/Alexa, WLAN robot vacuum cleaner for pet hair, carpets, hard floors	8	FBA15CYJTFND	STR1
2020-08-27T00:00:00+00:00	X0017LQ9Y5	VAN92-Z1AKUP-FRBU1A-N1S1	Tablette Z1 Nouvelle Version Blue	434	FBA15D34WWBR	LIL1
2020-08-27T00:00:00+00:00	X0017LQBFR	VAN92-Z1AKUP-FRPK1A-N1S1	Tablette Z1 Nouvelle Version Rose	448	FBA15D34TNXG	LIL1
2020-08-27T00:00:00+00:00	X0016X4CN9	VAN92-HMD3XX-ITWH0A-N1S1	CamÃ©ra extÃ©rieure WiFi sans fil 1080p avec batterie Ã©tanche avec dÃ©tecteur de mouvement PIR, vision nocturne, IP65 Cam avec audio bidirectionnel (arcade)	96	FBA15D0L051N	TRN1
2020-08-27T00:00:00+00:00	X0016L06EF	VAN92-L47C-FRWH0B-N1SI	Videoprojecteur, VANKYO Supporte 1080P Full HD Projecteur 5000 Lumens Retroprojecteur Portable MultimÃ©dia Home CinÃ©ma Compatible VGA HDMI AV USB	1	FBA15D1P3V1D	LIL1
2020-08-27T00:00:00+00:00	X0016EQDRL	VAN92-L430XX-ITWH2A-N1S1	Videoprojecteur, VANKYO 5500 Lumens Video Projecteur Soutien 1080P Full HD , Mini Retroprojecteur Portable MultimÃ©dia CinÃ©ma Maison, HDMI/VGA/AV/TF/USB Compatible avec TV Box/PS4/Smartphone (B)	1	FBA15D1P3HM5	FCO1
2020-08-27T00:00:00+00:00	X0016NLK75	VAN92-A10XXX-ITWH0A-N1S6	SNAPTAIN A10 Mini Drone con Telecamera HD 720P Pieghevole FPV Controllo Vocale, Controllo Gesti, Volo Traiettoria, Volo Circolare, Rotazione ad Alta velocitÃ , 3D Filp, Sensore G, modalitÃ  Senza Testa	118	FBA15D0HVFVG	TRN1
2020-08-27T00:00:00+00:00	X00163GKP7	VAN92-S8FA-ITBK2A-N1SI	VANKYO S8 Tablet da 8 Pollici, Tablet Android 9.0 con CPU da 2GB + 32GB Espandibile fino a 128GB, Tablet per Bambini con Fotocamera da 5MP, Tablet Offerte Supporta GPS, FM e Wi-Fi	305	FBA15D054B8W	TRN1
2020-08-26T00:00:00+00:00	X001650K8N	VAN92-X200-GBBK0A-N1S2	Wireless Earbuds, VANKYO X200 Bluetooth 5.0 Earbuds in-Ear True Wireless Headphones with Smart LED, 120H Playtime Deep Bass Stereo Sound, IPX8 Waterproof Wireless Earphones With Mic for Work Sport	1	FBA15CXNX9X2	MAN3
2020-08-26T00:00:00+00:00	X0017LQ9Y5	VAN92-Z1AKUP-FRBU1A-N1S1	Tablette Z1 Nouvelle Version Blue	56	FBA15D34WWBR	LIL1
2020-08-26T00:00:00+00:00	X00163GKP7	VAN92-S8FA-ITBK2A-N1SI	VANKYO S8 Tablet da 8 Pollici, Tablet Android 9.0 con CPU da 2GB + 32GB Espandibile fino a 128GB, Tablet per Bambini con Fotocamera da 5MP, Tablet Offerte Supporta GPS, FM e Wi-Fi	144	FBA15D054B8W	TRN1
2020-08-26T00:00:00+00:00	X0015N5CDJ	VAN92-S300-ESBU0A-N1S1	SNAPTAIN SP300 Drone para NiÃ±o, Infrarrojo Sensor RC Quadrocopter para NiÃ±os y Principiantes, ThrowâN Go, MÃºltiples Controles Remotos, InducciÃ³n por Gravedad, 360Â° Flip, Altitud Hold, Modo sin Cabeza	216	FBA15D0K8MQ8	BCN2
2020-08-26T00:00:00+00:00	X0016QOR1X	VAN92-H610-ITBK0A-N3S1	VanTop H610 Dashcam voor auto, 25,4 cm (10 inch), 2,5 K, achteruitrijcamera, 1080P, waterdicht, HDR, WDR, nachtzicht met sensor, Sony IMX335 Starvisis, parkeerhulp	300	FBA15CZFGLXD	TRN1
2020-08-26T00:00:00+00:00	X0016YTXAF	VAN92-H823-DEBU1A-N3S1	SNAPTAIN Mini Drohne H823H Plus mit 3 Akkus fÃ¼r 21 Minuten Flugzeit, RC Drone, Quadrocopter Mini Helikopter mit HÃ¶hehalten, Kopfloser Modus, 3D Flips und 3 Geschwindigkeitsmodi fÃ¼r Kinder AnfÃ¤nger	72	FBA15D2G60D0	STR1
2020-08-26T00:00:00+00:00	X0014AAPCB	VAN92-L430-ITWH0A-N1S1	Videoprojecteur, VANKYO 5500 Lumens Video Projecteur Soutien 1080P Full HD , Mini Retroprojecteur Portable MultimÃ©dia CinÃ©ma Maison, HDMI/VGA/AV/TF/USB Compatible avec TV Box/PS4/Smartphone (B)	1	FBA15CWLXWXK	FCO1
2020-08-26T00:00:00+00:00	X0015QH94L	VAN92-S7FA-ITBK1A-N2S2	Tablet 7 Inch 2GB + 32GB Expandable up to 128GB, VANKYO S7 Tablet with Quad-Core Android 9.0 Processor, RAM, 2MP + 5MP Camera, WiFi	4	FBA15CX0GGVF	FCO1
2020-08-26T00:00:00+00:00	X0016ESXN3	VAN92-L430XX-DEWH2A-N1S1	VANKYO Leisure 430 Mini projecteur compatible 1080P Full HD, 3800 lumens Home cinÃ©ma avec 5000 heures LED compatible avec la clÃ© TV, HDMI, SD, AV, VGA, USB, PS4, X-Box	-6	FBA15CZK4PY4	FRA1
2020-08-26T00:00:00+00:00	X0015WCNOB	VAN92-C100XX-DEWH2A-N1S2	VANKYO Cinemango 100 Mini projecteur 5000 lumens Home CinÃ©ma Support 1080P Full HD avec 50 000 heures LED Compatible TV Stick, HDMI, SD, AV, VGA, USB, PS4, X-Box, iOS/Android Projecteur	1	FBA15CZK5QJH	PAD1
2020-08-26T00:00:00+00:00	X0011YXSN3	VAN92-CSCH-H136-DEWH0A-N1S1	HeimVision Babyphone avec appareil photo, Ã©cran LCD 5 pouces, vidÃ©o HD 720P, audio Ã  deux voies, tempÃ©rature et alarme acoustique, vision nocturne, sommeil, grand angle 110 Â°, portÃ©e jusqu'Ã  300 m	2	FBA15D260N2S	CGN1
2020-08-26T00:00:00+00:00	X0014TVY7H	VAN92-L410XX-GBWH2A-N1S1	VANKYO L410 Native 720P Projector, 5500 Lumens portable Projector Support 1080P and 180'' Display w/ 50,000 Hrs Lamp Life, Compatible w/ Smartphone, TV Stick, PS4, HDMI, VGA, TF, AV and USB, XBOX	-1	FBA15D158ZP9	LTN4
2020-08-26T00:00:00+00:00	X00147R0I1	VAN92-L47C-GBWH0A-N1S2	VANKYO Leisure 470C Native 720P Projector, Full HD 1080P Supported and 250ââ Display, 5500 Lumens Portable Projector Compatible with TV Stick, PS4, HDMI, VGA, TF, AV, USB	6	FBA15D0S8TWN	BHX4
2020-08-26T00:00:00+00:00	X0013IL983	VAN92-S300-FRBU0A-N1S1	SNAPTAIN SP300 Drone LED 3 Modes de ContrÃ´le, 360Â° Flips, Capteur Infrarouge, Induction de GravitÃ©, Maintien de l'altitude pour Enfants et DÃ©butants	192	FBA15CZRVBVN	ORY4
