received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-27T04:00:00+04:00	X0017SKNF9	VNTP1-S650-GBBK6A-AC1SC1	SNAPTAIN SP650 1080P Drone with Camera for Adults 1080P HD Live Video Camera Drone for Beginners w/Voice Control, Gesture Control, Circle Fly, High-Speed Rotation, Altitude Hold, Headless Mode	60	FBA15D3DWJG2	EMA1
2020-08-27T04:00:00+04:00	X0017SJV93	VNTP1-S500-GBBK0A-AC1SC1	SNAPTAIN SP500 GPS 5G WiFi Transmission FPV Drone with 1080P HD Camera, Foldable Drone for Beginners and Adults, RC Quadcopter with GPS Return Home, Follow Me, Gesture Control, Circle Fly, Auto Hover	24	FBA15D3DV1FM	EMA1
2020-08-27T04:00:00+04:00	X0017SLJP7	VNTP1--A15H-GBGY0A-AC1SC1	SNAPTAIN A15 Foldable FPV WiFi 120Â° Wide-Angle 720P HD Camera, Voice Control/Trajectory Flight/Altitude Hold, Drone for Adults and Beginners, 2 Modular Batteries (Included)	3	FBA15D3DWP4W	EMA1
2020-08-27T04:00:00+04:00	X0017SKNF9	VNTP1-S650-GBBK6A-AC1SC1	SNAPTAIN SP650 1080P Drone with Camera for Adults 1080P HD Live Video Camera Drone for Beginners w/Voice Control, Gesture Control, Circle Fly, High-Speed Rotation, Altitude Hold, Headless Mode	12	FBA15D3DW57B	EMA1
2020-08-27T04:00:00+04:00	X0014N3S4F	VNTP1-S5C0-FRBK6A-AC2SC2	SNAPTAIN S5C Drone avec CamÃ©ra 720P WiFi FPV TÃ©lÃ©commande WiFi APP, avec ContrÃ´le Gestuel,Vol de Trajectoire, 360Â°Flips pour Les DÃ©butants et Les Enfants	12	FBA15D3N1XDB	MRS1
2020-08-27T04:00:00+04:00	X0017SJVV1	VNTP1-A10XXX-GBGY0A-AC1SC1	SNAPTAIN A10 Foldable Mini Drone with 720P HD Camera, WiFi FPV RC Quadcopter, Voice/Gesture Control, Trajectory Flight, Circle Fly, High-Speed Rotation, 3D Flips, G-Sensor, Headless Mode	168	FBA15D3DW4K1	EMA1
2020-08-27T04:00:00+04:00	X0016419I9	VNTP1-L410XX-GBWH2A-AC1SC1	VANKYO L410 Native 720P Projector, 5500 Lumens portable Projector Support 1080P and 180'' Display w/ 50,000 Hrs Lamp Life, Compatible w/ Smartphone, TV Stick, PS4, HDMI, VGA, TF, AV and USB, XBOX	18	FBA15D1PSJ9R	BHX4
2020-08-27T04:00:00+04:00	X0017SJVV1	VNTP1-A10XXX-GBGY0A-AC1SC1	SNAPTAIN A10 Foldable Mini Drone with 720P HD Camera, WiFi FPV RC Quadcopter, Voice/Gesture Control, Trajectory Flight, Circle Fly, High-Speed Rotation, 3D Flips, G-Sensor, Headless Mode	168	FBA15D3DVT53	EMA1
2020-08-27T04:00:00+04:00	X0017KN921	VNTP1-L430XX-ITWH2A-AC1SC1	Videoprojecteur, VANKYO 5500 Lumens Video Projecteur Soutien 1080P Full HD , Mini Retroprojecteur Portable MultimÃ©dia CinÃ©ma Maison, HDMI/VGA/AV/TF/USB Compatible avec TV Box/PS4/Smartphone (B)	6	FBA15D382V41	FCO1
2020-08-27T04:00:00+04:00	X0017SLJP7	VNTP1--A15H-GBGY0A-AC1SC1	SNAPTAIN A15 Foldable FPV WiFi 120Â° Wide-Angle 720P HD Camera, Voice Control/Trajectory Flight/Altitude Hold, Drone for Adults and Beginners, 2 Modular Batteries (Included)	20	FBA15D3DWY9S	EMA1
2020-08-26T04:00:00+04:00	X0015Z00U7	VNTP1-L430XX-FRWH2A-AC1SC1	Videoprojecteur, VANKYO 5500 Lumens Projecteur Soutien 1080P Full HD , Mini Retroprojecteur Portable MultimÃ©dia CinÃ©ma Maison, HDMI/VGA/AV/TF/USB Compatible avec TV Box/PS4/Smartphone	96	FBA15D0S3133	ORY4
