amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-9966814-0854207	503-9966814-0854207	2020-08-27T21:30:00+09:00	2020-08-27T21:30:04+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS30専用ケース】 10インチ 全面保護 キズ防止 角度調整 グレー タブレットPCケース	C21K-3D0004-JPGY3A	B086H18HM9	Unshipped	1	JPY	2599.0									静岡県	422-8017	JP	S30平板和皮套一起   200日元
503-9966814-0854207	503-9966814-0854207	2020-08-27T21:30:00+09:00	2020-08-27T21:30:04+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS30専用保護フィルム】 2枚 10インチ 指紋防止 キズ防止 気泡防止 9H 高透明度 貼りやすい 強化	C21K-4D0004-JPCR3A	B086HCLN8L	Unshipped	1	JPY	1880.0									静岡県	422-8017	JP	S30平板与 化膜一起   200日元
503-9966814-0854207	503-9966814-0854207	2020-08-27T21:30:00+09:00	2020-08-27T21:30:04+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[2020NEW モデル] VANKYO タブレット10インチS30 Android 9.0 RAM3GB/ROM32GB Wi-Fiモデル 8コアCPU 1920x1200 IPSディスプレイ Bluetoot	CTAK-S30H-JPSV4A-A2S2	B085GB81H5	Unshipped	1	JPY	19599.0									静岡県	422-8017	JP	S30平板和皮套一起   200日元,S30平板与 化膜一起   200日元,VPC-6-4848550 Coupon
250-6295133-6699826	250-6295133-6699826	2020-08-27T21:24:21+09:00	2020-08-27T21:28:27+09:00	Cancelled	Amazon	Amazon.co.jp			Standard	VANKYO 壁掛け式スクリーン シワなし ホームシアター プロジェクタースクリーン 投射スクリーン100インチ 16:9 取 	CACK-PS07-JPWH3A	B07YJLNC2C	Cancelled	0											静岡県	433-8119	JP	
503-9207940-3061468	503-9207940-3061468	2020-08-27T21:28:21+09:00	2020-08-27T21:28:24+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO プロジェクター台 ノートパソコンスタンド 業務用 三脚式 折りたたみ式プロジェクタースタンド 44-116㎝ま	CACK-PT20-JPWH1A	B07CWPV988	Unshipped	1	JPY	4880.0									石川県	929-1215	JP	
503-7759463-1823803	503-7759463-1823803	2020-08-27T21:25:41+09:00	2020-08-27T21:25:44+09:00	Pending	Amazon	Amazon.co.jp			Standard	VANKYO CY750 ヘッドホンノイズキャンセリングヘッドホンBluetooth 5.0ワイヤレス ANCノイズキャンセル 2台デバイスと 	CGTK-CY75-JPSV0A	B081GZJ7YB	Unshipped	1	JPY	8980.0									大阪府	533-0007	JP	JP Core Free Shipping  2016/03/29 6-38-40-593,VPC-6-4992598 Coupon
250-9276119-9657403	250-9276119-9657403	2020-08-27T21:24:28+09:00	2020-08-27T21:24:31+09:00	Pending	Amazon	Amazon.co.jp			Standard	VANKYO 壁掛け式スクリーン 折りたたみ式 スクリーン プロジェクター用 ホームシアター スクリーン ポータブル  	C21K-5A0004-JPWH4A	B07DFDCMZD	Unshipped	1	JPY	2699.0									沖縄県	901-2312	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-1663891-8307841	503-1663891-8307841	2020-08-27T21:23:37+09:00	2020-08-27T21:23:41+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[2020NEW モデル] VANKYO タブレット10インチS30 Android 9.0 RAM3GB/ROM32GB Wi-Fiモデル 8コアCPU 1920x1200 IPSディスプレイ Bluetoot	CTAK-S30H-JPSV4A-A2S2	B085GB81H5	Unshipped	1	JPY	19599.0									富山県	930-0814	JP	VPC-6-4848550 Coupon
250-8098242-7823055	250-8098242-7823055	2020-08-27T21:19:38+09:00	2020-08-27T21:19:41+09:00	Pending	Amazon	Amazon.co.jp			Expedited	Vankyo タブレット10インチZ10専用ケース	CTAK-PH06-JPGY0A	B07XDB1Q2X	Unshipped	1	JPY	2399.0									埼玉県	331-0812	JP	
503-7961720-9095808	503-7961720-9095808	2020-08-27T21:16:14+09:00	2020-08-27T21:16:18+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VanTop ドライブレコーダー 右カメラ 2.5K前後カメラ SONY センサー 高画質ミラー型 10インチ 最大128GB対応 電波障害	VDJP-H610RX-JPBK0A-A1S1	B07Y4MC1JJ	Unshipped	2	JPY	27760.0									千葉県	287-0102	JP	VPC-6-4817712 Coupon
