amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-8454144-0195054	249-8454144-0195054	2020-08-27T21:27:23+09:00	2020-08-27T21:27:26+09:00	Pending	Amazon	Amazon.co.jp			Standard	HeimVision ネットワークWIFIカメラ 300万画素 ペット監視カメラ 子供/ペット/老人見守り 動体検知自動追跡 暗視機 	DB1--HM202A-JPWH0A-AC1SC1	B08698XJQF	Unshipped	1	JPY	3990.0									神奈川県	210-0846	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-5120274-1043817	250-5120274-1043817	2020-08-27T21:10:35+09:00	2020-08-27T21:10:38+09:00	Pending	Amazon	Amazon.co.jp			Expedited	HeimVision ネットワークWIFIカメラ 300万画素 ペット監視カメラ 子供/ペット/老人見守り 動体検知自動追跡 暗視機 	DB1--HM202A-JPWH0A-AC1SC1	B08698XJQF	Unshipped	1	JPY	3990.0									北海道	060-0061	JP	VPC-6-4959524 Coupon
503-1799120-7287026	503-1799120-7287026	2020-08-27T21:09:02+09:00	2020-08-27T21:09:05+09:00	Pending	Amazon	Amazon.co.jp			Expedited	HeimVision ネットワークWIFIカメラ 300万画素 ペット監視カメラ 子供/ペット/老人見守り 動体検知自動追跡 暗視機 	DB1--HM202A-JPWH0A-AC1SC1	B08698XJQF	Unshipped	1	JPY	3990.0									宮崎県	880-0824	JP	
503-4949993-1341444	503-4949993-1341444	2020-08-27T20:57:35+09:00	2020-08-27T20:57:39+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS8専用ケース】8インチ 全面保護 キズ防止 角度調整 グレー タブレットPCケース	DB1-3D0002-JPGY2A-AC1SC1	B086HPDSWJ	Unshipped	1	JPY	2399.0									群馬県	370-3602	JP	
503-4949993-1341444	503-4949993-1341444	2020-08-27T20:57:35+09:00	2020-08-27T20:57:39+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS8専用保護フィルム】2枚 8インチ 指紋防止 キズ防止 気泡防止 9H 高透明度 貼りやすい 強化ガ	DB1-4D0002-JPCR2A-AC1SC1	B086XDBMYC	Unshipped	1	JPY	1680.0									群馬県	370-3602	JP	
503-8100416-9110228	503-8100416-9110228	2020-08-27T20:55:33+09:00	2020-08-27T20:55:36+09:00	Pending	Amazon	Amazon.co.jp			Expedited	Kyvol E20 ロボット掃除機 2000Pa 強力吸引 超薄型 畳 静音 自動充電 Alexa WiFi 落下防止 衝突防止 150分間連続稼働 掃 	DB1-E20XXX-JPBK0A	B0863W8FPB	Unshipped	1	JPY	20980.0									埼玉県	337-0051	JP	VPC-6-5017693 Coupon
250-8024793-3877418	250-8024793-3877418	2020-08-27T20:50:40+09:00	2020-08-27T20:50:43+09:00	Pending	Amazon	Amazon.co.jp			Expedited	HeimVision 防犯カメラ 300万画素 屋内/屋外用 ワイヤレス/WiFi ネットワークカメラ 双方向通話 暗視撮影 110度の超広	DB1-C07H-HM311X-AD1SD1	B088LLVHL8	Unshipped	1	JPY	5480.0									埼玉県	338-0006	JP	
503-3134228-3477404	503-3134228-3477404	2020-08-27T16:17:04+09:00	2020-08-27T20:45:38+09:00	Pending	Amazon	Amazon.co.jp			Expedited	SNAPTAINドローン GPS搭載 2K 110°広角HDカメラ付き バッテリー2個付き 26分飛行時間 200g未満 折り畳み式 フォローミ 	DB1-SP500J-JPBK0A-AD1SD1	B08BFZR4MG	Unshipped	1	JPY	16990.0									大阪府	564-0004	JP	VPC-6-4996898 Coupon
503-9557894-9419049	503-9557894-9419049	2020-08-27T20:45:31+09:00	2020-08-27T20:45:34+09:00	Pending	Amazon	Amazon.co.jp			Standard	SNAPTAINドローン カメラ付き 折り畳み式 小型 こども向け バッテリー２個付き 最大飛行時間15分 高画質720P WIFI FPV	DB1-A10XXX-JPWH0A-A1S2	B086PYBKLX	Unshipped	1	JPY	5280.0									埼玉県	362-0017	JP	JP Core Free Shipping  2016/03/29 6-38-40-593,VPC-6-4921780 Coupon
250-7484446-4935013	250-7484446-4935013	2020-08-27T20:09:13+09:00	2020-08-27T20:43:56+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS8専用保護フィルム】2枚 8インチ 指紋防止 キズ防止 気泡防止 9H 高透明度 貼りやすい 強化ガ	DB1-4D0002-JPCR2A-AC1SC1	B086XDBMYC	Cancelled	0											Tochigi-ken	321-4333	JP	
250-7484446-4935013	250-7484446-4935013	2020-08-27T20:09:13+09:00	2020-08-27T20:43:56+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS8専用ケース】8インチ 全面保護 キズ防止 角度調整 グレー タブレットPCケース	DB1-3D0002-JPGY2A-AC1SC1	B086HPDSWJ	Unshipped	1	JPY	2399.0									Tochigi-ken	321-4333	JP	
503-4263948-7501438	503-4263948-7501438	2020-08-27T20:41:11+09:00	2020-08-27T20:41:15+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS8専用ケース】8インチ 全面保護 キズ防止 角度調整 グレー タブレットPCケース	DB1-3D0002-JPGY2A-AC1SC1	B086HPDSWJ	Unshipped	1	JPY	2399.0									神奈川県	257-0015	JP	
249-0428846-8897415	249-0428846-8897415	2020-08-27T20:15:17+09:00	2020-08-27T20:15:20+09:00	Pending	Amazon	Amazon.co.jp			Expedited	HeimVision ネットワークWIFIカメラ 300万画素 ペット監視カメラ 子供/ペット/老人見守り 動体検知自動追跡 暗視機 	DB1--HM202A-JPWH0A-AC1SC1	B08698XJQF	Unshipped	1	JPY	3990.0									京都府	605-0862	JP	VPC-6-4959524 Coupon
250-6360060-5156614	250-6360060-5156614	2020-08-27T20:14:37+09:00	2020-08-27T20:14:40+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS8専用保護フィルム】2枚 8インチ 指紋防止 キズ防止 気泡防止 9H 高透明度 貼りやすい 強化ガ	DB1-4D0002-JPCR2A-AC1SC1	B086XDBMYC	Unshipped	1	JPY	1680.0									東京都	124-0006	JP	
250-6360060-5156614	250-6360060-5156614	2020-08-27T20:14:37+09:00	2020-08-27T20:14:40+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS8専用ケース】8インチ 全面保護 キズ防止 角度調整 グレー タブレットPCケース	DB1-3D0002-JPGY2A-AC1SC1	B086HPDSWJ	Unshipped	1	JPY	2399.0									東京都	124-0006	JP	
250-5584163-1475020	250-5584163-1475020	2020-08-27T20:13:59+09:00	2020-08-27T20:14:02+09:00	Pending	Amazon	Amazon.co.jp			Expedited	HeimVision 防犯カメラ 300万画素 屋内/屋外用 ワイヤレス/WiFi ネットワークカメラ 双方向通話 暗視撮影 110度の超広	DB1-C07H-HM311X-AD1SD1	B088LLVHL8	Unshipped	1	JPY	5480.0									福岡県	806-0022	JP	VPC-6-4986875 Coupon
250-1993252-9471824	250-1993252-9471824	2020-08-27T11:03:03+09:00	2020-08-27T19:58:49+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	HeimVision ネットワークWIFIカメラ 300万画素 ペット監視カメラ 子供/ペット/老人見守り 動体検知自動追跡 暗視機 	DB1--HM202A-JPWH0A-AC1SC1	B08698XJQF	Shipped	1	JPY	3990.0	363.0					1000.0			東京都	178-0061	JP	VPC-6-4959524 Coupon
503-6702131-1561413	503-6702131-1561413	2020-08-27T19:54:57+09:00	2020-08-27T19:55:01+09:00	Pending	Amazon	Amazon.co.jp			Standard	SNAPTAINドローン GPS搭載 2K 110°広角HDカメラ付き バッテリー2個付き 26分飛行時間 200g未満 折り畳み式 フォローミ 	DB1-SP500J-JPBK0A-AD1SD1	B08BFZR4MG	Unshipped	1	JPY	16990.0									石川県	927-1233	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-8341297-1709469	503-8341297-1709469	2020-08-26T12:44:16+09:00	2020-08-27T19:38:22+09:00	Pending	Amazon	Amazon.co.jp			Standard	HeimVision ネットワークWIFIカメラ 300万画素 ペット監視カメラ 子供/ペット/老人見守り 動体検知自動追跡 暗視機 	DB1--HM202A-JPWH0A-AC1SC1	B08698XJQF	Unshipped	1	JPY	3990.0									千葉県	272-0114	JP	JP Core Free Shipping  2016/03/29 6-38-40-593,VPC-6-4959524 Coupon
