amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-transparency 
S01-8376521-4505248	ZWZ-202082104	2020-08-27T10:23:46+00:00	2020-08-27T11:55:02+00:00	Shipping	Amazon	SI CA Prod Marketplace			Standard	VANKYO Leisure 430W Mini WiFi Projector with Synchronize Smartphone Screen, Full HD 1080P Supported with 4500 LUX, Portable Projector for Home/Outdoor, Compatible with TV Stick, Smartphone, PS4	SM2-L430WX-CAWH2A-1S1	B089K55DHG	Unshipped	1										St.Marys,	ON	N4X1A3	CA		false			false
S01-6556594-2823653	701-5659587-0983419-RS	2020-08-27T11:18:20+00:00	2020-08-27T11:23:49+00:00	Shipping	Amazon	SI CA Prod Marketplace			Standard	HeimVision HM136 Video Baby Monitor, Security Camera, 5â³ Screen, 720P HD, Wide Angle, Safe Wireless Connection, Two-Way Audio, Night Vision, Multi-Camera, Temperature & Sound Alarm, Lullaby, Pan/Tilt/Zoom Baby Camera	SM2-H136-CAWH0A-S2A2	B07V27W6PB	Unshipped	1										Saint-Constant	QC	J5A 1J5	CA		false			false
S01-1534658-7157225	702-6386308-6621051-RS	2020-08-27T11:18:20+00:00	2020-08-27T11:18:24+00:00	Pending	Amazon	SI CA Prod Marketplace			Standard	VANKYO 6500 LUX Performance V620 Native 1080P Projector, 2020 Upgraded HD Video Projector 200" Display with 55,000 Hrs Lamp Life, Support TV Stick, Laptop, HDMI, Smartphone for Home & Office Purpose	SM2-V620-CAGV0A-1S4	B07Y4RQFXC	Unshipped	1										Milton	ON	L9T 3K5	CA		false			false
S01-8317000-0582824	701-0853765-5809861-RS	2020-08-27T11:18:20+00:00	2020-08-27T11:18:23+00:00	Pending	Amazon	SI CA Prod Marketplace			Standard	VANKYO 6500 LUX Performance V620 Native 1080P Projector, 2020 Upgraded HD Video Projector 200" Display with 55,000 Hrs Lamp Life, Support TV Stick, Laptop, HDMI, Smartphone for Home & Office Purpose	SM2-V620-CAGV0A-1S4	B07Y4RQFXC	Unshipped	1										Ottawa	ON	K1Z 7L1	CA		false			false
S01-9832554-0938854	702-3442750-9296202-RS	2020-08-27T11:18:20+00:00	2020-08-27T11:18:23+00:00	Pending	Amazon	SI CA Prod Marketplace			Standard	HeimVision HM203 Security Camera, 1080P Surveillance WiFi Camera with Night Vision/PTZ/Two-Way Audio, 2.4Ghz Wireless Home IP Camera for Pet/ Baby/ Elder/ Dog Camera Monitor, Cloud Service/ MicroSD Support	SM2--H203-CAWH0A-A1S5	B07PX1YXVM	Unshipped	1										Edmonton	AB	T5P 2L7	CA		false			false
S01-4806323-8542826	701-3954862-7583409-RS	2020-08-27T11:18:20+00:00	2020-08-27T11:18:22+00:00	Pending	Amazon	SI CA Prod Marketplace			Standard	HeimVision HM136 Video Baby Monitor, Security Camera, 5â³ Screen, 720P HD, Wide Angle, Safe Wireless Connection, Two-Way Audio, Night Vision, Multi-Camera, Temperature & Sound Alarm, Lullaby, Pan/Tilt/Zoom Baby Camera	SM2-H136-CAWH0A-S2A2	B07V27W6PB	Unshipped	1										uxbridge	ON	L9P 1J4	CA		false			false
S01-7061352-7439610	701-0273256-6157021-RS-2	2020-08-27T07:06:00+00:00	2020-08-27T08:27:02+00:00	Shipping	Amazon	SI CA Prod Marketplace			Priority	VANKYO MatrixPad S7 7 inch Android Tablet, Android 9.0 Pie, 2GB RAM 32GB Storage, Quad-Core Processor, IPS HD Display, Wi-Fi, Bluetooth 4.2, GPS, Black	SM2-S7FA-CABK1A-A1S5	B081YW3W18	Unshipped	1										Cambridge	ON	N1R 3K3	CA		false			false
S01-3625891-2674019	701-5320178-2108245-RS	2020-08-26T15:08:41+00:00	2020-08-27T08:13:41+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	VANKYO Leisure 470 Wireless Projector, Synchronize Smart Phone Screen, Mini WiFi Projector for iOS/Android, 1080P Supported, 4500 LUX with 250" Size, Movie Portable Projector for Home & Outdoor	SM2-L470-CAWH0B-3S1	B081CVBMWL	Unshipped	1										Mississauga	ON	L5N 4R8	CA		false			false
S01-9111461-5456426	ZWL-2020082601	2020-08-26T02:06:42+00:00	2020-08-27T05:48:25+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	VANKYO Performance V630W Native 1080P Wifi Projector, Upgraded 7000LUX Portable Projector with Zoom Function, Synchronized Smartphone Screen for iOS/Android Devices, Compatible with TV Stick, HDMI, TV Box and More	SM2-V630WX-CAWH3A-1S4	B08CZCYGKX	Unshipped	1										Brampton	ON	L6P4K5	CA		false			false
S01-2956471-7539608	702-3928911-9062639-RS	2020-08-26T03:53:05+00:00	2020-08-27T04:59:03+00:00	Shipped	Amazon	SI CA Prod Marketplace			Expedited	HeimVision HM136 Video Baby Monitor, Security Camera, 5â³ Screen, 720P HD, Wide Angle, Safe Wireless Connection, Two-Way Audio, Night Vision, Multi-Camera, Temperature & Sound Alarm, Lullaby, Pan/Tilt/Zoom Baby Camera	SM2-H136-CAWH0A-S2A2	B07V27W6PB	Unshipped	1										Ayr	ON	N0B 1E0	CA		false			false
