amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-1489341-8782214	249-1489341-8782214	2020-08-27T21:30:19+09:00	2020-08-27T21:30:22+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO S10 タブレット 10.1インチ Android 9.0 RAM2GB/ROM32GB Wi-Fiモデル デュアルカメラ GPS FM機能搭載 日本語取扱説明書	VNST1-S10FAX-JPBK3A-AC2SC5	B0872Q8JNL	Unshipped	3	JPY	28290.0									茨城県	319-0305	JP	
250-0475916-5729449	250-0475916-5729449	2020-08-27T21:28:37+09:00	2020-08-27T21:28:41+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS10専用保護フィルム】 2枚 10.1インチ 指紋防止 キズ防止 気泡防止 9H 高透明度 貼りやすい 強 	C21K-4D0005-JPCR3A	B087NPK1Q7	Unshipped	1	JPY	1580.0									福岡県	833-0056	JP	
250-0475916-5729449	250-0475916-5729449	2020-08-27T21:28:37+09:00	2020-08-27T21:28:41+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【VANKYO タブレットS10専用ケース】 10.1インチ 全面保護 キズ防止 角度調整 グレー タブレットPCケース	C21K-3D0006-JPGY3A	B087NPGZGJ	Unshipped	1	JPY	2380.0									福岡県	833-0056	JP	
249-3924428-2415000	249-3924428-2415000	2020-08-27T21:28:23+09:00	2020-08-27T21:28:26+09:00	Pending	Amazon	Amazon.co.jp			Standard	VANKYO プロジェクター 小型 4600ルーメン HDプロジェクター スマホ接続可 ホームシアター 1080Pに対応 タブレット/ 	VNST1-L430WX-JPWH2A-AC2SC3	B08CKC495F	Unshipped	1	JPY	11800.0									兵庫県	651-1211	JP	JP Core Free Shipping  2016/03/29 6-38-40-593,VPC-6-4954204 Coupon
250-7498687-8991863	250-7498687-8991863	2020-08-27T21:27:52+09:00	2020-08-27T21:27:55+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VanTop ドライブレコーダー ミラー型 ドラレコ 右ハンドル仕様 前後カメラ 1080P H609R 10インチ 高画質 最大128GB対応	VNST1-H609RX-JPBK0A-AC1SC1	B088WN3LXG	Unshipped	1	JPY	10880.0									広島県	738-0060	JP	VPC-6-4957457 Coupon
250-1100945-4665436	250-1100945-4665436	2020-08-27T21:26:18+09:00	2020-08-27T21:26:21+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO S10 タブレット 10.1インチ Android 9.0 RAM2GB/ROM32GB Wi-Fiモデル デュアルカメラ GPS FM機能搭載 日本語取扱説明書	VNST1-S10FAX-JPBK3A-AC2SC5	B0872Q8JNL	Unshipped	1	JPY	9430.0									宮崎県	884-0006	JP	
250-2395955-4663800	250-2395955-4663800	2020-08-27T21:21:53+09:00	2020-08-27T21:23:56+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO S10 タブレット 10.1インチ Android 9.0 RAM2GB/ROM32GB Wi-Fiモデル デュアルカメラ GPS FM機能搭載 日本語取扱説明書	VNST1-S10FAX-JPBK3A-AC2SC5	B0872Q8JNL	Unshipped	1	JPY	9430.0									群馬県	371-0846	JP	
250-7105263-2315008	250-7105263-2315008	2020-08-27T21:21:49+09:00	2020-08-27T21:21:52+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO タブレット Android9.0 10.1インチ 32GB 大容量 デュアルカメラ WiFi Z4AA-JP02 オンラン授業 日本語仕様書付き	VNST1-Z4AA-JPGY4A-A1S1	B085MCKGY7	Unshipped	1	JPY	9999.0									埼玉県	354-0046	JP	
503-6339482-9114223	503-6339482-9114223	2020-08-27T21:20:50+09:00	2020-08-27T21:20:53+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO タブレット10インチS20 Android 9.0 RAM3GB/ROM64GB Wi-Fiモデル 8コアCPU Bluetooth 5.0 GPS FM機能搭載 日本語取扱説明書付	VNST1-S20I-JPGY4A-AC2SC5	B086H9BHJG	Unshipped	1	JPY	18399.0									福岡県	814-0161	JP	VPC-6-4926274 Coupon
250-5104004-9043865	250-5104004-9043865	2020-08-27T21:20:25+09:00	2020-08-27T21:20:29+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO X180 ワイヤレスイヤホンBluetooth 5.0完全ワイヤレスイヤホンIPX7防水イヤホン左右分離型 マイク内蔵 両耳通 	VNST1-X180XX-JPBK0A-AC2SC2	B088RH8SDR	Unshipped	1	JPY	2999.0									兵庫県	652-0032	JP	VPC-6-5018788 Coupon
