amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-4480484-9771016	503-4480484-9771016	2020-08-27T21:29:42+09:00	2020-08-27T21:29:45+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO Leisure 470 HD プロジェクター 4000ルーメン スマホに直接接続可 小型 プロジェクター ホームシアター 1920×1080	VNTP1-L470-JPWH0A-AC1SC2	B07Z1V5YBD	Unshipped	1	JPY	9999.0									兵庫県	664-0006	JP	
503-3306219-7089414	503-3306219-7089414	2020-08-20T19:33:29+09:00	2020-08-27T21:29:39+09:00	Pending	Amazon	Amazon.co.jp			Standard	VANKYO ゲーミングイヤホン ゲームイヤフォン ゲーミングヘッドセット イヤホン マイク付き マイクミュート機能	C09K-G10XXX-JPBK0A	B087N6GX5S	Unshipped	1	JPY	3380.0	307.0					1000.0			神奈川県	252-0001	JP	JP Core Free Shipping  2016/03/29 6-38-40-593,VPC-6-4959839 Coupon
250-0475916-5729449	250-0475916-5729449	2020-08-27T21:28:37+09:00	2020-08-27T21:28:41+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO S10 タブレット 10.1インチ Android 9.0 RAM2GB/ROM32GB Wi-Fiモデル デュアルカメラ GPS FM機能搭載 日本語取扱説明書	VNTP1-S10FAX-JPBK3A-AC2SC6	B0872Q8JNL	Unshipped	1	JPY	9320.0									福岡県	833-0056	JP	
503-0702163-2462219	503-0702163-2462219	2020-08-27T21:27:12+09:00	2020-08-27T21:27:15+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO Leisure 470 HD プロジェクター 4000ルーメン スマホに直接接続可 小型 プロジェクター ホームシアター 1920×1080	VNTP1-L470-JPWH0A-AC1SC2	B07Z1V5YBD	Unshipped	1	JPY	9999.0									福井県	910-0022	JP	VPC-6-4956068 Coupon
250-0159715-6099837	250-0159715-6099837	2020-08-27T21:26:01+09:00	2020-08-27T21:26:04+09:00	Pending	Amazon	Amazon.co.jp			Expedited	SNAPTAIN ドローン カメラ付き 1080P HD 120°広角カメラ 200g未満 最大24分飛行時間 WIFI FPVリアルタイム伝送 高度維持  	VNTP1-S650-JPBK6A-AC1SC1	B07VBM89DB	Unshipped	1	JPY	9999.0									和歌山県	649-1534	JP	VPC-6-5024054 Coupon
250-6360771-5839021	250-6360771-5839021	2020-08-27T17:35:16+09:00	2020-08-27T21:17:31+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	SNAPTAIN ドローン カメラ付き バッテリー2個付き 飛行時間15分 室内向け 200g未満 WIFI FPV リアルタイム 720P HDカメラ	CUVP-S5C0-JPBK6A-A3S3	B07KXNW5WF	Shipped	1	JPY	5999.0	545.0					3599.0			千葉県	290-0073	JP	購入割引 2020/07/15 10-13-9-417,VPC-6-4948246 Coupon
249-7591863-0795828	249-7591863-0795828	2020-08-27T21:12:23+09:00	2020-08-27T21:13:29+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO Leisure 430XX 小型 プロジェクター LED 4500lm 1080PフルHD対応 内蔵スピーカー 台形補正 HDMI/USB/SD/AV/VGA対応 スマホ	VNTP1-L430XX-JPWH2A-AC1SC1	B083BP39RZ	Unshipped	1	JPY	6999.0									大阪府	532-0022	JP	VPC-6-5010410 Coupon
250-6161829-4037419	250-6161829-4037419	2020-08-24T19:43:16+09:00	2020-08-27T21:11:36+09:00	Shipped	Amazon	Amazon.co.jp			Standard	VANKYO Leisure 470 HD プロジェクター 4000ルーメン スマホに直接接続可 小型 プロジェクター ホームシアター 1920×1080	VNTP1-L470-JPWH0A-AC1SC2	B07Z1V5YBD	Shipped	1	JPY	9999.0	909.0	410.0	37.0			2000.0	410.0		神奈川県	252-0825	JP	JP Core Free Shipping  2016/03/29 6-38-40-593,VPC-6-4956068 Coupon
249-4834667-4089438	249-4834667-4089438	2020-08-27T21:07:49+09:00	2020-08-27T21:07:52+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO S10 タブレット 10.1インチ Android 9.0 RAM2GB/ROM32GB Wi-Fiモデル デュアルカメラ GPS FM機能搭載 日本語取扱説明書	VNTP1-S10FAX-JPBK3A-AC2SC6	B0872Q8JNL	Unshipped	1	JPY	9320.0									奈良県	630-8114	JP	
503-1258244-4592655	503-1258244-4592655	2020-08-27T17:24:27+09:00	2020-08-27T21:07:13+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO S10 タブレット 10.1インチ Android 9.0 RAM2GB/ROM32GB Wi-Fiモデル デュアルカメラ GPS FM機能搭載 日本語取扱説明書	VNTP1-S10FAX-JPBK3A-AC2SC6	B0872Q8JNL	Unshipped	1	JPY	9320.0	847.0								石川県	921-8025	JP	
249-1047340-9603007	249-1047340-9603007	2020-08-27T21:04:25+09:00	2020-08-27T21:04:28+09:00	Pending	Amazon	Amazon.co.jp			Expedited	VANKYO Leisure 470 HD プロジェクター 4000ルーメン スマホに直接接続可 小型 プロジェクター ホームシアター 1920×1080	VNTP1-L470-JPWH0A-AC1SC2	B07Z1V5YBD	Unshipped	1	JPY	9999.0									広島県	721-0926	JP	VPC-6-4956068 Coupon
249-5554645-0835023	249-5554645-0835023	2020-08-27T21:02:43+09:00	2020-08-27T21:02:46+09:00	Pending	Amazon	Amazon.co.jp			Expedited	SNAPTAIN ドローン カメラ付き バッテリー2個付き 飛行時間15分 室内向け 200g未満 WIFI FPV リアルタイム 720P HDカメラ	CUVP-S5C0-JPBK6A-A3S3	B07KXNW5WF	Unshipped	1	JPY	5999.0									福岡県	811-1244	JP	購入割引 2020/07/15 10-13-9-417,VPC-6-4948246 Coupon
503-3351270-5840607	503-3351270-5840607	2020-08-27T21:00:46+09:00	2020-08-27T21:00:50+09:00	Pending	Amazon	Amazon.co.jp			Expedited	SNAPTAIN ドローン カメラ付き 1080P HD 120°広角カメラ 200g未満 最大24分飛行時間 WIFI FPVリアルタイム伝送 高度維持  	VNTP1-S650-JPBK6A-AC1SC1	B07VBM89DB	Unshipped	1	JPY	9999.0									東京都	142-0043	JP	VPC-6-5024054 Coupon
