amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-sold-by-ab 
404-1545479-3404324	404-1545479-3404324	2020-08-25T20:26:43+00:00	2020-08-26T11:44:15+00:00	Shipped	Amazon	Amazon.fr			Standard	SNAPTAIN SP650 Drone avec CamÃ©ra 1080P Full HD 120Â° Grand Angle RÃ©glable, WiFi Transmission en Temps RÃ©el ,ContrÃ´le Gestuel, Vol de Trajectoire,	VNTP1-S650-FRBK6A-AC1S4	B07YRPGWND	Shipped	1	EUR	89.99	15.0	4.16					4.16	ChÃ¢teau l'Eveque		24460	FR	Free Shipping 2017/10/17 17-17-37-677	false			false
402-7328715-8189103	402-7328715-8189103	2020-08-22T21:50:31+00:00	2020-08-25T04:59:22+00:00	Shipped	Amazon	Amazon.fr			Expedited	SNAPTAIN SP500 Drone avec CamÃ©ra GPS 1080P Pliable ,30 Mins Autonomie,2 Batteires,Suivez-Moi,Auto Rentrer Ã  la Maison ,Smartcapture	VNTP1-S500-FRBK0A-AC1SC3	B07YYC89WV	Shipped	1	EUR	149.99	25.0							Annecy	Meythet	74960	FR		false			false
403-5026472-8606767	403-5026472-8606767	2020-08-23T16:47:40+00:00	2020-08-25T03:40:06+00:00	Shipped	Amazon	Amazon.fr			Standard	SNAPTAIN SP300 Drone LED 3 Modes de ContrÃ´le, 360Â° Flips, Capteur Infrarouge, Induction de GravitÃ©, Maintien de l'altitude pour Enfants et DÃ©butan	VNTP1-S300-FRBU0A-AC1SC3	B07Z4BK5NP	Shipped	1	EUR	49.99	8.33	4.16					4.16	Saint Laurent blangy		62223	FR	Free Shipping 2017/10/17 17-17-37-677	false			false
404-1838924-8185100	404-1838924-8185100	2020-08-23T18:57:01+00:00	2020-08-25T02:25:44+00:00	Shipped	Amazon	Amazon.fr			Expedited	SNAPTAIN SP500 Drone avec CamÃ©ra GPS 1080P Pliable ,30 Mins Autonomie,2 Batteires,Suivez-Moi,Auto Rentrer Ã  la Maison ,Smartcapture	VNTP1-S500-FRBK0A-AC1SC3	B07YYC89WV	Shipped	1	EUR	149.99	25.0							coulmiers		45130	FR		false			false
408-6541967-2129162	408-6541967-2129162	2020-08-23T09:49:28+00:00	2020-08-24T18:46:02+00:00	Shipped	Amazon	Amazon.fr			Expedited	SNAPTAIN H823H Plus Mini Drone Enfant HÃ©licoptÃ¨re 21 Mins Autonomie, avec 3 Batteries et TÃ©lÃ©commande, Mode sans TÃªte, 360Â°Flips, Maintien de l'	VNTP1-H82P-FRRD1A-AC1SC1	B07R57F1F7	Shipped	1	EUR	35.99	6.0							Soultzmatt		68570	FR		false			false
403-6953460-6713912	403-6953460-6713912	2020-08-14T12:09:13+00:00	2020-08-24T10:26:46+00:00	Cancelled	Amazon	Amazon.fr			Expedited	SNAPTAIN A15 Drone Pliable avec CamÃ©ra HD 720P 120Â° Grand Angle WiFi FPV avec Vol de Trajectoire, 3D VR, Mode sans TÃªte, 360Â°Flips et Maintien de	VNTP1-A15H-FRGY0A-AC2SC5	B07RWGM7K7	Unshipped	1	EUR	79.99								RIANS		83560	FR		false			false
403-6953460-6713912	403-6953460-6713912	2020-08-14T12:09:13+00:00	2020-08-24T10:26:46+00:00	Cancelled	Amazon	Amazon.fr			Expedited	SNAPTAIN S5C Drone avec CamÃ©ra 720P WiFi FPV TÃ©lÃ©commande WiFi APP, avec ContrÃ´le Gestuel,Vol de Trajectoire, 360Â°Flips pour Les DÃ©butants et Le	VNTP1-S5C0-FRBK6A-AC2SC2	B07Z8SNCN8	Unshipped	1	EUR	59.99								RIANS		83560	FR		false			false
408-8064527-9729101	408-8064527-9729101	2020-08-21T15:59:55+00:00	2020-08-24T10:04:00+00:00	Shipped	Amazon	Amazon.fr			Expedited	SNAPTAIN H823H Mini Drone Enfant 21 Mins Autonomie 3 Batteries Avion HÃ©licoptÃ¨re,Mode sans TÃªte, Maintien d'altitude, OpÃ©ration Ã  Un Bouton, 360ï¿½	VNTP1--H82P-FRBU1A-AC2SC1	B07WS6WDWF	Shipped	1	EUR	35.99	6.0							QUIERS		77720	FR		false			false
203-7966922-6294722	203-7966922-6294722	2020-08-27T11:22:57+00:00	2020-08-27T11:23:01+00:00	Pending	Amazon	Amazon.co.uk			Expedited	VANKYO Performance V630 Native 1080P Full HD Projector, 6800 Lumens 300" LED Projector w/ Â±45Â° Electronic Keystone Correction, Compatible w/ TV Stic	VNTP1-V630-GBWH0A-AC1SC1	B07YYY5Y72	Unshipped	1	GBP	199.99								Southampton	Hampshire	SO19 9FJ	GB		false			false
026-5257787-3281169	026-5257787-3281169	2020-08-26T18:33:56+00:00	2020-08-27T11:10:20+00:00	Shipped	Amazon	Amazon.co.uk			Expedited	Wireless Earbuds, VANKYO X200 Bluetooth 5.0 Earbuds in-Ear True Wireless Headphones with Smart LED, 120H Playtime Deep Bass Stereo Sound, IPX8 Waterpr	VNTP1-X200-GBBK0A-AC1SC2	B07ZQCST89	Shipped	1	GBP	41.99	7.0							WETHERBY	W Yorkshire	LS23 6HG	GB		false			false
205-6526829-5014701	205-6526829-5014701	2020-08-27T07:02:43+00:00	2020-08-27T07:02:47+00:00	Pending	Amazon	Amazon.co.uk			Expedited	VANKYO L430W WiFi Projector, 5800 Lumens Wireless Screen Mirroring Portable Projector, Full HD 1080P Supported, 236'' Display Compatible with TV Stick	VNTP1-L430WX-GBWH2A-AC1SC1	B089LYYN3Y	Unshipped	1	GBP	89.99								KENLEY		CR8 5DD	GB		false			false
204-5145715-2878768	204-5145715-2878768	2020-08-25T02:40:39+00:00	2020-08-27T02:17:31+00:00	Shipped	Amazon	Amazon.co.uk			Standard	VANKYO L410 Native 720P Projector, 5500 Lumens portable Projector Support 1080P and 180'' Display w/ 50,000 Hrs Lamp Life, Compatible w/ Smartphone, T	VNTP1-L410XX-GBWH2A-AC1SC1	B083SLR78K	Shipped	1	GBP	89.99	15.0	4.49	0.75					Ystrad Mynach	Caerphilly	CF82 7BN	GB		false			false
